display_order,layer,segment,parameter_key,parameter_label,description,required_components_for_full_implementation,toolkit_field_or_artifact_paths,source_definition,matrix_scope_note
1,publication_evidence,1,PUB.S1.stimulus_type,Stimulus type,"Noise, tone, ecological sound, speech, or custom/baked stimulus class.","Noise, tone, ecological sound, speech, or custom/baked stimulus class.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
2,publication_evidence,1,PUB.S1.source_provenance,Source/provenance,"Original asset, generated stimulus, licensed set, apparatus source, or supplement file.","Original asset, generated stimulus, licensed set, apparatus source, or supplement file.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
3,publication_evidence,1,PUB.S1.trajectory_count,Number of trajectories/tones,"Distinct looming/receding/static paths, tones, or auditory conditions.","Distinct looming/receding/static paths, tones, or auditory conditions.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
4,publication_evidence,1,PUB.S1.trajectory_path,Trajectory path,"Start/end distance, movement direction, participant-facing direction, speaker/source position, body anchor, azimuth/elevation, and spatial coordinate frame.","Start/end distance, movement direction, participant-facing direction, speaker/source position, body anchor, azimuth/elevation, and spatial coordinate frame.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
5,publication_evidence,1,PUB.S1.stimulus_duration,Duration,Auditory stimulus duration and any pre/post padding.,Auditory stimulus duration and any pre/post padding.,See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
6,publication_evidence,1,PUB.S1.stimulus_speed,Speed/path length,"Motion speed, path length, propagation timing, or distance-at-time mapping.","Motion speed, path length, propagation timing, or distance-at-time mapping.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
7,publication_evidence,1,PUB.S1.auditory_conditions,Auditory conditions,"Valence, direction, semantic, movement, or apparatus conditions affecting the auditory stimulus.","Valence, direction, semantic, movement, or apparatus conditions affecting the auditory stimulus.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
8,publication_evidence,1,PUB.S1.gain_envelope,Gain/envelope,"SPL, intensity law, gain curve, cross-fade, or amplitude-field information.","SPL, intensity law, gain curve, cross-fade, or amplitude-field information.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
9,publication_evidence,1,PUB.S1.renderer_or_apparatus,Renderer/HRTF/speaker apparatus,"Headphones, HRTF, Unity/3D Tune-In, physical speakers, arrays, room/speaker layout, or other rendering provenance.","Headphones, HRTF, Unity/3D Tune-In, physical speakers, arrays, room/speaker layout, or other rendering provenance.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
10,publication_evidence,2,PUB.S2.trial_rows_families,Trial rows/families,Within-trial audio sequence families and task rows.,Within-trial audio sequence families and task rows.,See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
11,publication_evidence,2,PUB.S2.condition_intermixing,Condition intermixing,Whether systematic manipulations are intermixed with task trials or separated.,Whether systematic manipulations are intermixed with task trials or separated.,See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
12,publication_evidence,2,PUB.S2.blocked_or_random_order,Blocked/random order,"Blocked condition structure, random intermixing, and task-critical order constraints.","Blocked condition structure, random intermixing, and task-critical order constraints.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
