layer,segment,parameter_key,parameter_label,publication_count,action_required_count,action_required_pct,status_counts_json,top_review_action
publication_evidence,1,PUB.S1.stimulus_type,Stimulus type,94,74,0.7872340425531915,"{""inferred_low_confidence"":8,""mixed"":1,""not_applicable"":1,""not_assessed"":29,""not_reported_after_review"":2,""reported"":19,""source_unavailable"":34}",acquire_or_open_source
publication_evidence,1,PUB.S1.source_provenance,Source/provenance,94,77,0.8191489361702128,"{""inferred_low_confidence"":7,""mixed"":1,""not_applicable"":1,""not_assessed"":29,""not_reported_after_review"":2,""reported"":16,""reported_with_caveat"":3,""source_unavailable"":35}",acquire_or_open_source
publication_evidence,1,PUB.S1.trajectory_count,Number of trajectories/tones,94,72,0.7659574468085106,"{""inferred_low_confidence"":7,""mixed"":1,""not_applicable"":1,""not_assessed"":29,""reported"":21,""source_unavailable"":35}",acquire_or_open_source
publication_evidence,1,PUB.S1.trajectory_path,Trajectory path,94,71,0.7553191489361702,"{""inferred_low_confidence"":12,""not_applicable"":1,""not_assessed"":29,""reported"":22,""source_unavailable"":30}",acquire_or_open_source
publication_evidence,1,PUB.S1.stimulus_duration,Duration,94,73,0.776595744680851,"{""derived"":2,""inferred_low_confidence"":10,""not_applicable"":1,""not_assessed"":29,""reported"":20,""source_unavailable"":32}",acquire_or_open_source
publication_evidence,1,PUB.S1.stimulus_speed,Speed/path length,94,76,0.8085106382978723,"{""derived"":5,""inferred_low_confidence"":3,""not_applicable"":10,""not_assessed"":29,""reported"":8,""source_unavailable"":39}",acquire_or_open_source
publication_evidence,1,PUB.S1.auditory_conditions,Auditory conditions,94,71,0.7553191489361702,"{""inferred_low_confidence"":12,""not_applicable"":1,""not_assessed"":29,""reported"":22,""source_unavailable"":30}",acquire_or_open_source
publication_evidence,1,PUB.S1.gain_envelope,Gain/envelope,94,79,0.8404255319148937,"{""inferred_low_confidence"":5,""mixed"":1,""not_applicable"":1,""not_assessed"":29,""not_reported_after_review"":5,""reported"":14,""reported_with_caveat"":2,""source_unavailable"":37}",acquire_or_open_source
publication_evidence,1,PUB.S1.renderer_or_apparatus,Renderer/HRTF/speaker apparatus,94,71,0.7553191489361702,"{""inferred_low_confidence"":11,""not_applicable"":1,""not_assessed"":29,""reported"":22,""source_unavailable"":31}",acquire_or_open_source
publication_evidence,2,PUB.S2.trial_rows_families,Trial rows/families,94,71,0.7553191489361702,"{""inferred_low_confidence"":13,""not_applicable"":1,""not_assessed"":29,""reported"":22,""source_unavailable"":29}",create_literature_audit
