record_id,citation_short,doi,coverage_category,pdf_status,supplement_status,visualization_audit_status,visualization_type,visualization_label,candidate_status,detected_terms,source_file,page_or_section,visual_verification_required,plotted_parameter_visual_checklist,manual_review_fields,evidence_note
canzoneri_2012_dynamic_sounds,Canzoneri et al. (2012),10.1371/journal.pone.0044306,covered_runnable_profile,downloaded,needs_user_download,source_mined,rt_by_soa_or_distance_curve,RT by SOA/distance curve,inferred_low_confidence,reaction time; rt; facilitation; distance; t1; t2; t3; t4; t5; temporal delay,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2012_dynamic_sounds/canzoneri_2012_dynamic_sounds.fallback.txt,"source page/section(s) 5, 3, 4",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2012_dynamic_sounds,Canzoneri et al. (2012),10.1371/journal.pone.0044306,covered_runnable_profile,downloaded,needs_user_download,source_mined,sigmoid_psychometric_fit,Sigmoid or psychometric fit,inferred_low_confidence,sigmoid; fit; fitted; slope; r2,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2012_dynamic_sounds/canzoneri_2012_dynamic_sounds.fallback.txt,"source page/section(s) 5, 6",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2012_dynamic_sounds,Canzoneri et al. (2012),10.1371/journal.pone.0044306,covered_runnable_profile,downloaded,needs_user_download,source_mined,pps_boundary_or_size_index,PPS boundary or size index,inferred_low_confidence,threshold; extension; index; boundary; extent,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2012_dynamic_sounds/canzoneri_2012_dynamic_sounds.fallback.txt,"source page/section(s) 2, 5",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2012_dynamic_sounds,Canzoneri et al. (2012),10.1371/journal.pone.0044306,covered_runnable_profile,downloaded,needs_user_download,source_mined,condition_group_bar_box_summary,Condition/group bar or box summary,inferred_low_confidence,mean; sem; condition; pre; post; comparison,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2012_dynamic_sounds/canzoneri_2012_dynamic_sounds.fallback.txt,"source page/section(s) 2, 7",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2012_dynamic_sounds,Canzoneri et al. (2012),10.1371/journal.pone.0044306,covered_runnable_profile,downloaded,needs_user_download,source_mined,near_far_or_distance_bin_plot,Near/far or distance-bin plot,inferred_low_confidence,near; far; close,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2012_dynamic_sounds/canzoneri_2012_dynamic_sounds.fallback.txt,"source page/section(s) 2, 6",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2012_dynamic_sounds,Canzoneri et al. (2012),10.1371/journal.pone.0044306,covered_runnable_profile,downloaded,needs_user_download,source_mined,apparatus_trajectory_schematic,Apparatus or trajectory schematic,inferred_low_confidence,speaker; loudspeaker; approaching; receding; looming; participant; tactile; source; figure; setup; experimental setup,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2012_dynamic_sounds/canzoneri_2012_dynamic_sounds.fallback.txt,"source page/section(s) 2, 4, 3",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2012_dynamic_sounds,Canzoneri et al. (2012),10.1371/journal.pone.0044306,covered_runnable_profile,downloaded,needs_user_download,source_mined,neural_trace_topography_or_brain_map,"Neural trace, topography, or brain map",inferred_low_confidence,eeg; tms; fmri; brain; cortex; electrode; erp,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2012_dynamic_sounds/canzoneri_2012_dynamic_sounds.fallback.txt,"source page/section(s) 2, 8",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2012_dynamic_sounds,Canzoneri et al. (2012),10.1371/journal.pone.0044306,covered_runnable_profile,downloaded,needs_user_download,source_mined,model_parameter_or_fit_table,Model parameter or fit table,inferred_low_confidence,model; parameter; slope; intercept; table; rmse,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2012_dynamic_sounds/canzoneri_2012_dynamic_sounds.fallback.txt,"source page/section(s) 5, 6",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2013_amputation_prosthesis,Canzoneri et al. (2013b),10.1038/srep02844,covered_blocked_missing_publication_parameters,downloaded,needs_user_download,source_mined,rt_by_soa_or_distance_curve,RT by SOA/distance curve,inferred_low_confidence,rt; distance; t1; t2; t3; t4; t5; d1; d2; soa; temporal delay,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2013_amputation_prosthesis/canzoneri_2013_amputation_prosthesis.fallback.txt,"source page/section(s) 2, 4, 6",yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
canzoneri_2013_amputation_prosthesis,Canzoneri et al. (2013b),10.1038/srep02844,covered_blocked_missing_publication_parameters,downloaded,needs_user_download,source_mined,pps_boundary_or_size_index,PPS boundary or size index,inferred_low_confidence,threshold; extension; extent,artifacts/paper_metadata_audit/extracted/fallback/canzoneri_2013_amputation_prosthesis/canzoneri_2013_amputation_prosthesis.fallback.txt,source page/section(s) 2,yes,Render and inspect the source figure/table/page; record figure/table/panel pointer; verify x-axis values and units; verify y-axis metric and units; verify plotted SOA/distance/bin labels; verify model parameters/boundary/index values when shown; verify uncertainty display; cross-check plotted parameters against methods/results tables or text.,figure/table/panel pointer; visualization form; x and y encodings; PPS metric shown; model function if any; boundary/index definition; condition facets; uncertainty display; visual verification status for plotted parameters.,"Automated PPS visualization miner found result/figure/model terms; verify against figures, captions, axes, legends, and results text before treating this visualization form as confirmed."
