priority_score,study_row_id,record_id,study_label,contract_key,contract_label,evidence_status,paper_value,missing_required_components,source_file,page_or_section,toolkit_encoding_status,review_action,reviewer_decision,reviewer_note,review_date
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),auditory_stimulus,Auditory stimulus,composite_requires_split,,source_mode | stimulus_identity_or_asset | source_recipe_or_asset_provenance,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),trajectory_kinematics,Trajectory and kinematics,composite_requires_split,,motion_mode | coordinate_frame_body_anchor | geometry | timing_constraint,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),trial_sequence,Trial sequence,composite_requires_split,,trial_families | ordered_elements_and_source_selection,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),task_response,Task and response,composite_requires_split,,target_and_nontarget_rule | response_mode_or_device | response_mapping_or_expected_action | response_window_and_anchor,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),jitter_iti_policy,Jitter and ITI policy,composite_requires_split,,policy_type | timing_scope_and_anchor | values_or_range,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),soa_schedule,SOA schedule,composite_requires_split,,reference_event_and_sign | ordered_soa_values_or_derivable_distance_anchors,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),tactile_target,Tactile target,composite_requires_split,,modality | body_site_and_side | waveform_and_duration,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),baseline_trial_contract,Baseline/control trials,composite_requires_split,,family_or_explicit_none | timing_and_anchor | allocation_rule | resolved_trial_count,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),catch_trial_contract,Catch/no-target trials,composite_requires_split,,family_or_explicit_none | target_role_and_expected_action | allocation_rule | resolved_trial_count,,,no_profile,disaggregate_record_by_experiment,,,
112,doi:10.1016/j.neuropsychologia.2026.109490::a,ferroni_2026_pps_plasticity,Dealing with the world close to our body. Characterizing determinants of peripersonal space plasticity. (a),repetition_allocation,Repetition allocation,composite_requires_split,,factor_dimensions | repetitions_or_exact_counts | exceptions_or_overrides,,,no_profile,disaggregate_record_by_experiment,,,
