study_row_id,network_node_id,record_id,publication_id,experiment_id,paradigm_variant_id,profile_id,task_family,study_label,experiment_letter,experiment_label,formal_experiment_number,instance_kind,instance_inventory_status,toolkit_scope,parameter_evidence_scope,known_instance_count,instance_count_basis,instance_evidence_pointer,experiment_disaggregation_status,title,year,doi,publication_url,toolkit_status,toolkit_join_status,evidence_stage,pdf_status,supplement_status,extraction_status,manual_review_status,orientation_review_status,visualization_review_status,visualization_candidate_count,network_prominence_rank,network_prominence,atomic_parameter_count,atomic_review_completed_count,atomic_review_required_count,parent_reviewed_missing_count,parent_source_unknown_count,new_parameters_not_in_current_audit_count
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,doi:10.1162/089892902320474481,Experiment 1 — right-side front/back × near/far × sound type,farne_ladavas_2002_auditory_pps_humans,,front/back near/far auditory-tactile extinction task around the head in right-brain-damaged patients,Auditory peripersonal space in humans. (a),a,Experiment 1 — right-side front/back × near/far × sound type,1,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,2,The critical review explicitly separates Experiment 1 and Experiment 2 condition sets and procedures.,manual_reviews/farne_ladavas_2002_auditory_pps_humans.json,combined_record_requires_experiment_specific_review,Auditory peripersonal space in humans.,2002,10.1162/089892902320474481,https://doi.org/10.1162/089892902320474481,supported_incomplete,doi_matched_manual_parameter_review,manual_review,paywalled,paywalled,pending_pdf,manual_review_completed_main_pdf,manual_review_missing_orientation_ledger,no_extracted_source,0,1,0.84414194,281,0,281,0,0,61
doi:10.1162/089892902320474481::b,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,doi:10.1162/089892902320474481,Experiment 2 — left-back near/far white noise,farne_ladavas_2002_auditory_pps_humans,,front/back near/far auditory-tactile extinction task around the head in right-brain-damaged patients,Auditory peripersonal space in humans. (b),b,Experiment 2 — left-back near/far white noise,2,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,2,The critical review explicitly separates Experiment 1 and Experiment 2 condition sets and procedures.,manual_reviews/farne_ladavas_2002_auditory_pps_humans.json,combined_record_requires_experiment_specific_review,Auditory peripersonal space in humans.,2002,10.1162/089892902320474481,https://doi.org/10.1162/089892902320474481,supported_incomplete,doi_matched_manual_parameter_review,manual_review,paywalled,paywalled,pending_pdf,manual_review_completed_main_pdf,manual_review_missing_orientation_ledger,no_extracted_source,0,1,0.84414194,281,0,281,0,0,61
doi:10.1371/journal.pone.0044306::a,doi:10.1371/journal.pone.0044306,canzoneri_2012_dynamic_sounds,doi:10.1371/journal.pone.0044306,Main dynamic audio-tactile PPS experiment,canzoneri_2012_dynamic_sounds,,canonical dynamic looming/receding sound with tactile detection,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (a),a,Main dynamic audio-tactile PPS experiment,,experiment,confirmed_total,in_scope,composite_requires_split,2,"The publication reports the main 17-participant dynamic audio-tactile experiment and a separately recruited seven-participant, 80-trial sound-localization experiment.","publication PDF pp.2-3, Method; Fig. 1B",experiment_specific_source_review_available,Dynamic sounds capture the boundaries of peripersonal space representation in humans.,2012,10.1371/journal.pone.0044306,https://doi.org/10.1371/journal.pone.0044306,runnable,doi_matched_manual_parameter_review,manual_review,downloaded,needs_user_download,parsed_with_warnings,manual_review_completed_main_pdf,manual_review_missing_orientation_ledger,source_mined,8,2,0.790642163,281,0,281,0,0,61
doi:10.1371/journal.pone.0044306::b,doi:10.1371/journal.pone.0044306,,doi:10.1371/journal.pone.0044306,Sound-localization validation experiment,single_or_unassessed,,not_assessed,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (b),b,Sound-localization validation experiment,,experiment,confirmed_total,auxiliary_validation_scope,composite_requires_split,2,"The publication reports the main 17-participant dynamic audio-tactile experiment and a separately recruited seven-participant, 80-trial sound-localization experiment.","publication PDF pp.2-3, Method; Fig. 1B",experiment_specific_source_review_available,Dynamic sounds capture the boundaries of peripersonal space representation in humans.,2012,10.1371/journal.pone.0044306,https://doi.org/10.1371/journal.pone.0044306,runnable,doi_matched_manual_parameter_review,no_exact_doi_audit_join,not_assessed,not_assessed,not_assessed,not_reviewed,not_assessed,not_assessed,0,2,0.790642163,281,0,281,0,220,61
doi:10.1111/j.1467-9280.2007.01952.x,doi:10.1111/j.1467-9280.2007.01952.x,serino_2007_blind_cane_users,doi:10.1111/j.1467-9280.2007.01952.x,serino_2007_blind_cane_users,serino_2007_blind_cane_users,serino_2007_blind_cane_users,static near/far weak-target Go/NoGo tactile detection,Extended multisensory space in blind cane users.,,not_assessed,,review_unit,not_assessed,not_assessed,none,,One current audit review unit; publication experiment count has not been independently registered.,metadata_audit.jsonl::serino_2007_blind_cane_users,experiment_count_not_assessed,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,https://doi.org/10.1111/j.1467-9280.2007.01952.x,supported_incomplete,doi_matched_manual_parameter_review,manual_review,paywalled,paywalled,pending_pdf,manual_review_completed_main_pdf_supplement_limited,manual_review_missing_orientation_ledger,no_extracted_source,0,3,0.778081043,281,0,281,12,0,61
doi:10.1016/j.cub.2013.01.043::a,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,doi:10.1016/j.cub.2013.01.043,Experiment 1 — mannequin versus other-person PPS,teneggi_2013_social_face,,face tactile detection with approaching/receding sound labels,Social modulation of peripersonal space boundaries. (a),a,Experiment 1 — mannequin versus other-person PPS,1,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,3,"The reviewed main PDF explicitly describes three audio-tactile PPS experiments: social presence/mannequin, cooperative versus noncooperative interaction, and cooperative interaction before/after. Their sound durations and condition structures differ, so the prior single review row was not lossless.",artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf::PDF pp.1-5; metadata_audit.jsonl::teneggi_2013_social_face,combined_record_requires_experiment_specific_review,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,needs_user_download,not_found,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,4,0.723568925,281,0,281,0,0,61
doi:10.1016/j.cub.2013.01.043::b,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,doi:10.1016/j.cub.2013.01.043,Experiment 2 — cooperative versus noncooperative interaction,teneggi_2013_social_face,,face tactile detection with approaching/receding sound labels,Social modulation of peripersonal space boundaries. (b),b,Experiment 2 — cooperative versus noncooperative interaction,2,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,3,"The reviewed main PDF explicitly describes three audio-tactile PPS experiments: social presence/mannequin, cooperative versus noncooperative interaction, and cooperative interaction before/after. Their sound durations and condition structures differ, so the prior single review row was not lossless.",artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf::PDF pp.1-5; metadata_audit.jsonl::teneggi_2013_social_face,combined_record_requires_experiment_specific_review,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,needs_user_download,not_found,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,4,0.723568925,281,0,281,0,0,61
doi:10.1016/j.cub.2013.01.043::c,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,doi:10.1016/j.cub.2013.01.043,Experiment 3 — cooperative interaction before versus after,teneggi_2013_social_face,,face tactile detection with approaching/receding sound labels,Social modulation of peripersonal space boundaries. (c),c,Experiment 3 — cooperative interaction before versus after,3,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,3,"The reviewed main PDF explicitly describes three audio-tactile PPS experiments: social presence/mannequin, cooperative versus noncooperative interaction, and cooperative interaction before/after. Their sound durations and condition structures differ, so the prior single review row was not lossless.",artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf::PDF pp.1-5; metadata_audit.jsonl::teneggi_2013_social_face,combined_record_requires_experiment_specific_review,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,needs_user_download,not_found,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,4,0.723568925,281,0,281,0,0,61
doi:10.1038/srep18603::a,doi:10.1038/srep18603,serino_2015_peri_trunk_exp1,doi:10.1038/srep18603,Experiment 1 — peritrunk,serino_2015_peri_trunk_exp1,serino_2015_peri_trunk_exp1,trunk tactile PPS with two-speaker analog looming/receding setup reconstructed as a binaural trajectory,Body part-centered and full body-centered peripersonal space representations. (a),a,Experiment 1 — peritrunk,1,experiment,confirmed_total,in_scope,experiment_specific,7,The network abstract explicitly reports seven experiments. Manual reviews separately cover Experiments 1-3 and the three separable Experiments 4-6; Experiment 7 has no current audit record.,publication_network.v3.json::doi:10.1038/srep18603; manual_reviews/serino_2015_peri_trunk_exp1.json; manual_reviews/serino_2015_front_back_trunk_exp2.json; manual_reviews/serino_2015_peri_hand_exp3.json; manual_reviews/serino_2015_exps_4_to_6.json,record_already_experiment_specific,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,runnable,doi_matched_manual_parameter_review,manual_review,downloaded,downloaded,parsed_with_warnings,manual_review_completed_main_pdf_and_supplement,manual_review_missing_orientation_ledger,source_mined,6,5,0.678387035,281,0,281,12,0,61
doi:10.1038/srep18603::b,doi:10.1038/srep18603,serino_2015_front_back_trunk_exp2,doi:10.1038/srep18603,Experiment 2 — front/back trunk,serino_2015_front_back_trunk_exp2,serino_2015_front_back_trunk_exp2,front/back trunk tactile PPS with 16-speaker array recreated as a reported linear moving-source trajectory,Body part-centered and full body-centered peripersonal space representations. (b),b,Experiment 2 — front/back trunk,2,experiment,confirmed_total,in_scope,experiment_specific,7,The network abstract explicitly reports seven experiments. Manual reviews separately cover Experiments 1-3 and the three separable Experiments 4-6; Experiment 7 has no current audit record.,publication_network.v3.json::doi:10.1038/srep18603; manual_reviews/serino_2015_peri_trunk_exp1.json; manual_reviews/serino_2015_front_back_trunk_exp2.json; manual_reviews/serino_2015_peri_hand_exp3.json; manual_reviews/serino_2015_exps_4_to_6.json,record_already_experiment_specific,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,runnable,doi_matched_manual_parameter_review,manual_review,downloaded,downloaded,parsed_with_warnings,manual_review_completed_main_pdf_and_supplement,structured_orientation_review_present,source_mined,6,5,0.678387035,281,0,281,23,0,61
