ordinal,contract_key,segment,label,description,completion_rule,current_toolkit_support,required_components,conditional_components,partial_missing_components,normalization_vocabularies,controlled_vocabulary_json,required_parent_fields,conditional_parent_fields,current_toolkit_paths,future_toolkit_paths,legacy_untyped_metadata_paths,compiler_derived_outputs,runtime_or_untyped_inputs
1,auditory_stimulus,1,Auditory stimulus,"Generated, imported, or physical sound identity plus an executable recipe, asset, or declared substitute; method-defining level/envelope/calibration and renderer details remain conditional. A missing private WAV requires an explicit approximation decision.",dependency_review,typed_partial_plus_untyped_reference_metadata,source_mode | stimulus_identity_or_asset | source_recipe_or_asset_provenance,level_envelope_calibration | renderer_apparatus,source_recipe_or_asset_provenance | level_envelope_calibration,auditory_source_mode,"{""auditory_source_mode"":{""generated"":""Procedural/noise-generator or synthesized source with a reproducible recipe."",""hybrid"":""The executable stimulus combines generated, imported, or physical-source elements."",""imported_asset"":""Recorded or authored audio file whose identity or approved substitute must be resolved."",""physical_source"":""A real-world sound source or apparatus produces the sound directly."",""unclear"":""The reviewed source does not distinguish the source implementation.""}}",stimulus_type | source_provenance,auditory_conditions | gain_envelope | renderer_or_apparatus,design.noises[].noise_type | design.noises[].gain | design.noises[].source_profile | design.noises[].source_profile_parameters | design.noises[].prebaked_path | design.noises[].motion_mode | design.custom_looming_files[].path | design.custom_looming_files[].render_mode | design.custom_looming_files[].tone_type | design.custom_looming_files[].gain | design.custom_looming_files[].motion_mode | design.prestimulus_files[].path | design.prestimulus_files[].render_mode | design.prestimulus_files[].tone_type | design.prestimulus_files[].gain | design.prestimulus_files[].motion_mode | design.sofa_file,,,,design.study_profile_reference_parameters::<auditory level/calibration/apparatus evidence>
2,trajectory_kinematics,1,Trajectory and kinematics,"Static or moving body-relative geometry plus a reconstructible timing constraint. Moving paths require duration, or path length plus speed; static sources require positions and active duration. Path length, direction and redundant speed/duration are derived.",trajectory_dependency,typed_partial_plus_untyped_reference_metadata,motion_mode | coordinate_frame_body_anchor | geometry | timing_constraint,padding_or_holds | attenuation_law,coordinate_frame_body_anchor | geometry | timing_constraint,trajectory_motion_mode,"{""trajectory_motion_mode"":{""approach"":""The auditory source moves toward the declared body anchor."",""bidirectional"":""Approaching and receding trajectories are both experimental conditions."",""custom"":""A nonstandard or nonlinear trajectory requires an explicit ordered path."",""discrete_switching"":""Apparent motion is implemented by ordered physical or virtual source switches."",""gain_only_proxy"":""Looming/receding is represented by a level envelope without metric 3D motion."",""recede"":""The auditory source moves away from the declared body anchor."",""static"":""One or more fixed source positions; no continuous auditory motion is synthesized."",""unclear"":""Motion implementation remains unresolved.""}}",trajectory_path | stimulus_duration | stimulus_speed,trajectory_count | gain_envelope | renderer_or_apparatus,design.trajectory.path_direction | design.trajectory.coordinate_mode | design.trajectory.start_radius_m | design.trajectory.end_radius_m | design.trajectory.start_x_m | design.trajectory.start_y_m | design.trajectory.start_z_m | design.trajectory.end_x_m | design.trajectory.end_y_m | design.trajectory.end_z_m | design.trajectory.azimuth_start_deg | design.trajectory.azimuth_end_deg | design.trajectory.elevation_deg | design.trajectory.path_length_m | design.trajectory.propagation_speed_mps | design.trajectory.padding_pre_s | design.trajectory.padding_post_s | design.trajectory.use_inverse_square | design.noises[].azimuth_deg | design.noises[].elevation_deg | design.noises[].trajectory_snapshot | design.custom_looming_files[].target_duration_s | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].target_duration_s | design.prestimulus_files[].trajectory_snapshot,,,,design.study_profile_reference_parameters::<participant/body/apparatus coordinate frame>
3,trial_sequence,2,Trial sequence,"Every trial family and its ordered auditory, tactile, wait, and source-selection elements, with method-defining within-trial timing and condition intermixing.",all_required,typed_partial_plus_untyped_row_metadata,trial_families | ordered_elements_and_source_selection,within_trial_timing_or_placement | condition_intermixing,ordered_elements_and_source_selection,,{},trial_rows_families | task_sequence_rules,condition_intermixing,design.protocol.trial_strips[].soa_values_ms | design.protocol.trial_strips[].metadata | design.protocol.trial_strips[].elements[].kind | design.protocol.trial_strips[].elements[].source_labels,,,,design.protocol.trial_strips[].metadata::<ordered event semantics>
4,task_response,runtime,Task and response,"Target/no-target rule, response or explicit passive/no-response mode, device/mapping, and any method-defining response-window anchor or scoring policy. The current design serializer has no first-class response contract.",response_dependency,untyped_runtime_row_metadata_only,target_and_nontarget_rule | response_mode_or_device | response_mapping_or_expected_action | response_window_and_anchor,scoring_rule,response_window_and_anchor,,{},task_sequence_rules | response_window,,design.protocol.trial_strips[].metadata,,,,design.protocol.trial_strips[].metadata::<response/capture/window keys> | session_runner response policy; fixed global defaults remain an implementation gap
5,jitter_iti_policy,2,Jitter and ITI policy,"Explicit none, fixed, discrete, range, or custom timing policy and whether it is a foreperiod, within-sequence gap, post-sound delay, or true intertrial interval. Audio padding is not silently treated as ITI.",all_required,typed_partial_plus_untyped_runtime_policy,policy_type | timing_scope_and_anchor | values_or_range,distribution | randomization,timing_scope_and_anchor | values_or_range,timing_policy_type,"{""timing_policy_type"":{""custom"":""A study-specific timing policy requires its own rule."",""discrete_set"":""Intervals are selected from a finite reported set."",""fixed"":""One fixed interval value is used."",""manual_or_event_driven"":""The next trial is started manually or by an external event."",""none"":""The reviewed procedure explicitly uses no jitter or variable interval."",""nonuniform_distribution"":""A named or otherwise specified nonuniform distribution is used."",""not_reported"":""The reviewed source does not provide the timing policy."",""pseudorandom_sequence"":""A constrained or predetermined pseudorandom timing sequence is used."",""uniform_range"":""Intervals are sampled from a reported continuous or stepped uniform range.""}}",iti_jitter_policy,,design.protocol.trial_strips[].elements[].jitter_values_ms | design.protocol.trial_strips[].elements[].randomized | design.protocol.trial_strips[].metadata,,,,design.protocol.trial_strips[].metadata::<iti/foreperiod/hazard keys> | session_runner ITI policy
6,soa_schedule,3,SOA schedule,"Ordered audio-tactile onset schedule with a declared reference/sign convention, or distance-at-touch anchors only when trajectory kinematics can derive the SOAs.",soa_dependency,typed_first_class,reference_event_and_sign | ordered_soa_values_or_derivable_distance_anchors,direction_specific_pairing,reference_event_and_sign | ordered_soa_values_or_derivable_distance_anchors,,{},soa_table,,design.protocol.soa_values_ms | design.protocol.spatial_values_cm | design.protocol.pair_spatial_values_with_soas | design.protocol.trial_strips[].soa_values_ms | design.protocol.trial_strips[].spatial_values_cm,,,,
7,tactile_target,3,Tactile target,"Tactile modality, body site/side, cue waveform/duration, and method-defining intensity/calibration or trigger mechanics needed to synthesize or route an equivalent cue.",all_required,typed_site_plus_untyped_runtime_waveform,modality | body_site_and_side | waveform_and_duration,frequency_or_amplitude | intensity_or_calibration | external_trigger,waveform_and_duration | intensity_or_calibration,,{},tactile_stimulus,,design.protocol.tactile_sites | design.protocol.trial_strips[].metadata,,,,design.protocol.trial_strips[].metadata::<tactile waveform/calibration/trigger keys> | session_runner tactile synthesis/runtime inputs
8,baseline_trial_contract,3,Baseline/control trials,"Explicit absence or a trial-generation control family (for example tactile-only, static/far, SOA-matched, endpoint, sound-offset, or custom), with timing anchor and an exact count or reconstructible allocation. EEG/analysis baselines are excluded.",control_family_dependency,typed_first_class,family_or_explicit_none | timing_and_anchor | allocation_rule | resolved_trial_count,crossing_rule,timing_and_anchor | allocation_rule | resolved_trial_count,baseline_family | allocation_mode,"{""allocation_mode"":{""derived_formula"":""The allocation is derived from reported factors and the formula is preserved."",""exact_count"":""An exact row/trial count is reported."",""not_reported"":""No defensible allocation rule was recovered."",""percentage_with_denominator"":""A percentage is reported together with a denominator or crossing rule sufficient to resolve an exact count."",""repetition_factor"":""A repetition count is applied over an explicitly named factorial cell set."",""reported_formula"":""A reported arithmetic rule resolves the allocation."",""unresolved_percentage"":""A percentage is reported without enough denominator/crossing information to resolve the count.""},""baseline_family"":{""analysis_only_excluded"":""An EEG/MEP/prestimulus analysis window is reported but is not a generated baseline trial family."",""custom_mixed_control"":""Multiple distinct trial-control families must be represented separately."",""no_stimulation_control"":""No-stimulation rows or blocks provide the trial-generation control."",""none"":""The trial inventory explicitly contains no separate baseline/control trial family."",""static_or_fixed_distance_expectancy_control"":""A fixed/static auditory position or timing controls expectancy against the moving condition."",""tactile_only_endpoint_pre_post"":""Tactile-only trials occur before sound onset, after sound offset, or at trajectory endpoints."",""tactile_only_soa_matched"":""Tactile-only trials match every or selected audio-tactile SOA anchors."",""tactile_only_unspecified"":""Unimodal tactile trials are present but their timing relation is not fully classified."",""unisensory_factorial_control"":""Tactile-only and/or auditory-only rows are factorial multisensory controls rather than a single RT baseline ladder.""}}",baseline_strategy | baseline_timing | baseline_count,,design.protocol.include_baseline_trials | design.protocol.baseline_strategy | design.protocol.baseline_trials_exact | design.protocol.baseline_trial_percentage | design.protocol.baseline_soa_values_ms | design.protocol.baseline_custom_trial_mode | design.protocol.baseline_crosses_sequence_variants | design.protocol.trial_strips[].baseline_percentage,,,,
9,catch_trial_contract,3,Catch/no-target trials,"Explicit absence or a catch/no-target family, its expected response/withhold rule, and an exact count or reconstructible percentage with denominator/crossing rule. Auditory-only target/control rows remain distinct from catches.",control_family_dependency,typed_partial_plus_untyped_target_role,family_or_explicit_none | target_role_and_expected_action | allocation_rule | resolved_trial_count,crossing_rule,target_role_and_expected_action | allocation_rule | resolved_trial_count,catch_family | allocation_mode,"{""allocation_mode"":{""derived_formula"":""The allocation is derived from reported factors and the formula is preserved."",""exact_count"":""An exact row/trial count is reported."",""not_reported"":""No defensible allocation rule was recovered."",""percentage_with_denominator"":""A percentage is reported together with a denominator or crossing rule sufficient to resolve an exact count."",""repetition_factor"":""A repetition count is applied over an explicitly named factorial cell set."",""reported_formula"":""A reported arithmetic rule resolves the allocation."",""unresolved_percentage"":""A percentage is reported without enough denominator/crossing information to resolve the count.""},""catch_family"":{""auditory_only_response_target_not_catch"":""Auditory-only trials require a response and must remain a target/control family, not be collapsed into catch trials."",""auditory_only_withhold"":""Sound is presented without the tactile target and the participant withholds a response."",""combined_no_target_families"":""More than one no-target/catch family is used and must be allocated separately."",""no_stimulation_withhold"":""No target stimulus is presented and the participant withholds a response."",""none"":""The reviewed trial inventory explicitly contains no catch/no-target family."",""rare_target_monitoring"":""Most trials are target-absent while rare probes define the response task."",""tactile_nontarget_withhold"":""A strong, weak, wrong-site, or otherwise designated tactile nontarget requires withholding."",""unisensory_control_not_catch"":""Auditory-only or other unisensory rows are analysis controls and not behavioral catches.""}}",catch_trial_type | catch_count,,design.protocol.include_catch_trials | design.protocol.catch_trial_percentage | design.protocol.catch_trials_exact | design.protocol.catch_crosses_sequence_variants | design.protocol.include_auditory_only_trials | design.protocol.auditory_only_trial_percentage | design.protocol.auditory_only_trials_exact | design.protocol.auditory_only_crosses_sequence_variants | design.protocol.trial_strips[].catch_percentage | design.protocol.trial_strips[].elements[].kind,,,,design.protocol.trial_strips[].metadata::<catch target role and expected action>
10,repetition_allocation,4,Repetition allocation,"Repetition count or exact allocation rule and the SOA, condition and family dimensions it applies over; total trials are a derived validation, not a substitute.",all_required,typed_first_class,factor_dimensions | repetitions_or_exact_counts | exceptions_or_overrides,derived_total_reconciliation,factor_dimensions | repetitions_or_exact_counts,allocation_mode,"{""allocation_mode"":{""derived_formula"":""The allocation is derived from reported factors and the formula is preserved."",""exact_count"":""An exact row/trial count is reported."",""not_reported"":""No defensible allocation rule was recovered."",""percentage_with_denominator"":""A percentage is reported together with a denominator or crossing rule sufficient to resolve an exact count."",""repetition_factor"":""A repetition count is applied over an explicitly named factorial cell set."",""reported_formula"":""A reported arithmetic rule resolves the allocation."",""unresolved_percentage"":""A percentage is reported without enough denominator/crossing information to resolve the count.""}}",repetitions_per_tactile_soa_condition,total_trial_count,design.protocol.repetitions_per_condition | design.protocol.trial_pool_repetition_defaults | design.protocol.trial_strips[].audio_tactile_percentage | design.protocol.trial_strips[].catch_percentage | design.protocol.trial_strips[].baseline_percentage,,,,compiled trial-pool exact counts
