gui_decision,toolkit_control,study_examples,design_rationale,caveat,citation_keys,profile_template_ids
"Segment 0: choose bundled study profile or custom design","Profile selector plus Custom design option; creates/activates registry folders and records profile metadata","Published-profile recreation and software-methods workflows","Keeps a PPS task from becoming an undocumented local script; profile identity, verification status, and missing-parameter notes are part of the method","A verified profile means the represented fields were checked; it does not certify original-author stimulus equivalence","Otto2023;AnwylIrvine2018;Peirce2019;Ellis2024","all bundled preloads; custom_*"
"Segment 0: preserve project/design name","Project name, profile id, source profile id, and local registry manifest","Reusable experiment-builder precedents and open-toolbox papers","Human-readable naming supports audit, sharing, and later profile snapshots","Local custom profiles stay ignored until intentionally exported or packaged","Otto2023;Ellis2024","study5_box_breathing_pps;study5_dynaspace_lateral_45_pps"
"Segment 0: citation and provenance display","Profile citation metadata, DOI/source URL, verification status, and citation export where available","Literature recreation profiles with partial/verified statuses","Makes paper-to-GUI translation visible before a lab treats a template as a replication","Some profile citations are source-pointer records and require manual paper review before exact replication claims","Holmes2020;Canzoneri2012;Matsuda2021","canzoneri_2012_dynamic_sounds;matsuda_2021_four_directions;roussel_2025_dynaspace_mobile_pps"
"Segment 1: generate looming noise or import source","Generated source bake plus custom looming/audio clip imports","Dynamic sounds, rough sounds, speech/instruction clips, emotional/ecological sounds","Audio-tactile PPS designs vary by source identity and salience; the toolkit separates source creation from later trial scheduling","Imported third-party sounds are local assets unless redistribution rights are verified","Canzoneri2012;Taffou2021;Ferri2015;Roussel2025","study5_box_breathing_pps;ferri_2015_artificial_looming_valence;taffou_2014_cynophobic_rear_looming"
"Segment 1: source mode burst train versus smooth linear","Two generated-noise modes: dynaspace_gaussian_burst_train and continuous_noise labeled Burst train and Smooth linear","DynaSpace/mobile burst trains and older continuous/noise-like looming tasks","Burst trains preserve salient onset structure used by recent mobile/DynaSpace-style protocols; smooth linear remains available for older or explicit continuous designs","Mode choice is not a control condition by itself; papers must report waveform, burst duration, onset spacing, and envelope","Hug2019;Farne2002;Roussel2025;Canzoneri2012","study5_dynaspace_lateral_45_pps;roussel_2025_dynaspace_mobile_pps;study5_box_breathing_pps"
"Segment 1: loudness contract and gain law","Start/end SPL policy, instruction offset, peak ceiling, renderer gain mode, and estimated-versus-measured calibration status","Auditory distance perception and virtual nearby-source judgments depend on level, direct-to-reverberant ratio, source spectrum, source type, and normalization choices","Distance-at-touch can be confounded with loudness unless the gain law and calibration evidence are explicit","Estimated hardware SPL is not publication-grade acoustic calibration; final studies need measured participant-ear SPL or a stated limitation","Zahorik2002;Kolarik2015;Spagnol2017;Arend2021Level;Hobeika2019","study5_box_breathing_pps;study5_dynaspace_lateral_45_pps;all generated spatialized profiles"
"Segment 1: choose noise or sound class","White, pink, and other generated noise labels plus imported emotional/ecological/custom sounds","White-noise dynamic sounds, rough harmonic sounds, dog/sheep rear sounds, affective looming sounds","Spectral content can alter salience, threat value, localization, and response readiness; labels and hashes make it reconstructable","Toolkit-generated proxies are not equivalent to proprietary or unredistributed original stimuli","Taffou2021;Bahadori2021;Ferri2015;Tonelli2019","study5_box_breathing_pps;ferri_2015_ecological_looming_valence;tonelli_2019_echolocation"
"Segment 1: start and end distance","Trajectory radius/distance controls and trajectory inventory","Canzoneri dynamic distances, Hobeika logarithmic distance sampling, smartphone DynaSpace anchors","Distance at tactile onset is often the theoretical PPS variable; storing sampled trajectory coordinates prevents later ambiguity","Virtual distance depends on renderer, HRTF choice, level law, and participant perceptual externalization","Canzoneri2012;Hobeika2019;Roussel2025;Salvador2018","canzoneri_2012_dynamic_sounds;roussel_2025_dynaspace_mobile_pps;study5_dynaspace_lateral_45_pps"
"Segment 1: azimuth, elevation, and spatial direction","Front/rear/left/right, azimuth, elevation, 2D/3D trajectory preview, source-level trajectory snapshots","Four-direction, front/rear, left/right, VR/3D boundary, walking/remapping studies","PPS is body-relative and direction-sensitive; trajectory metadata must state where the sound approaches from, not only when the tactile event occurs","The current GUI can represent many audio-tactile trajectories but not every social, VR, locomotor, or apparatus-specific manipulation","Matsuda2021;Teraoka2024;Amiel2025;Noel2015;Lerner2021","matsuda_2021_four_directions;noel_2015_walking_full_body_action;lerner_2021_3d_audio_tactile_boundary"
"Segment 1: motion direction and speed","Looming/receding labels, path length, movement duration, and speed metadata","Approaching versus receding dynamic-sound designs and motor/walking variants","Approach direction can change PPS facilitation and defensive relevance; speed determines the mapping from SOA to distance","Exact analog speaker or Unity motion implementations may require profile notes beyond the current binaural trajectory abstraction","Canzoneri2012;Matsuda2021;Noel2015;Barumerli2026","canzoneri_2012_dynamic_sounds;matsuda_2021_four_directions;barumerli_2026_arm_movement_exp1"
