study_row_id,study_label,year,doi,experiment_label,evidence_stage,toolkit_status,resolved_contracts,contract_coverage_pct,auditory_stimulus,trajectory_kinematics,trial_sequence,task_response,jitter_iti_policy,soa_schedule,tactile_target,baseline_trial_contract,catch_trial_contract,repetition_allocation,block_order_contract
doi:10.1162/089892902320474481::a,Auditory peripersonal space in humans. (a),2002,10.1162/089892902320474481,Experiment 1 — right-side front/back × near/far × sound type,manual_review,supported_incomplete,8/11,72.7,approximation_required,reported_complete,reported_complete,partial,not_reported,reported_complete,reported_complete,derived_complete,derived_complete,derived_complete,derived_complete
doi:10.1162/089892902320474481::b,Auditory peripersonal space in humans. (b),2002,10.1162/089892902320474481,Experiment 2 — left-back near/far white noise,manual_review,supported_incomplete,8/11,72.7,approximation_required,reported_complete,reported_complete,partial,not_reported,reported_complete,reported_complete,explicitly_absent,derived_complete,derived_complete,reported_complete
doi:10.1371/journal.pone.0044306,Dynamic sounds capture the boundaries of peripersonal space representation in humans.,2012,10.1371/journal.pone.0044306,not_assessed,manual_review,runnable,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial
doi:10.1111/j.1467-9280.2007.01952.x,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,not_assessed,manual_review,supported_incomplete,0/11,0.0,partial,partial,partial,partial,not_reported,partial,partial,partial,partial,partial,partial
doi:10.1016/j.cub.2013.01.043::a,Social modulation of peripersonal space boundaries. (a),2013,10.1016/j.cub.2013.01.043,Experiment 1 — mannequin versus other-person PPS,current_audit_without_manual_review,supported_incomplete,1/11,9.1,approximation_required,derived_complete,partial,partial,source_unavailable,partial,partial,source_unavailable,partial,source_unavailable,partial
doi:10.1016/j.cub.2013.01.043::b,Social modulation of peripersonal space boundaries. (b),2013,10.1016/j.cub.2013.01.043,Experiment 2 — cooperative versus noncooperative interaction,current_audit_without_manual_review,supported_incomplete,1/11,9.1,approximation_required,derived_complete,partial,partial,source_unavailable,partial,partial,source_unavailable,partial,source_unavailable,partial
doi:10.1016/j.cub.2013.01.043::c,Social modulation of peripersonal space boundaries. (c),2013,10.1016/j.cub.2013.01.043,Experiment 3 — cooperative interaction before versus after,current_audit_without_manual_review,supported_incomplete,2/11,18.2,approximation_required,derived_complete,partial,partial,source_unavailable,reported_complete,partial,source_unavailable,partial,source_unavailable,partial
doi:10.1038/srep18603::a,Body part-centered and full body-centered peripersonal space representations. (a),2015,10.1038/srep18603,Experiment 1 — peritrunk,manual_review,runnable,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,not_reported
doi:10.1038/srep18603::b,Body part-centered and full body-centered peripersonal space representations. (b),2015,10.1038/srep18603,Experiment 2 — front/back trunk,manual_review,runnable,0/11,0.0,low_confidence,partial,partial,partial,partial,partial,partial,partial,partial,partial,not_reported
doi:10.1038/srep18603::c,Body part-centered and full body-centered peripersonal space representations. (c),2015,10.1038/srep18603,Experiment 3 — perihand,manual_review,runnable,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,not_reported
doi:10.1038/srep18603::d,Body part-centered and full body-centered peripersonal space representations. (d),2015,10.1038/srep18603,Experiment 4 — hand versus trunk/hand on chest,manual_review,runnable,7/11,63.6,approximation_required,derived_complete,partial,partial,reported_complete,derived_complete,reported_complete,derived_complete,derived_complete,reported_complete,partial
