study_row_id,network_node_id,record_id,study_label,event_id,event_label,order_index,event_kind,execution_mode,relation,relative_to_event_id,compiled_predecessor_event_ids,compiled_concurrent_event_ids,visit_id,session_id,pps_occurrence_id,timepoint_label,repeat_count,duration_s,duration_text,spacing_notes,factor_level_bindings_json,profile_or_protocol_ref,parameter_overrides_json,source_type,source_file,page_or_section,evidence_note,current_toolkit_support,future_toolkit_path
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,Auditory peripersonal space in humans. (a),protocol_session_1,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,session_1,,,9,,,,{},doi:10.1162/089892902320474481::a,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/farne_ladavas_2002_auditory_pps_humans.json,"PDF pp.11-12, Experiment 1",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,Auditory peripersonal space in humans. (a),protocol_session_2,,2,pps_measurement,toolkit_protocol,separate_session,protocol_session_1,,,,session_2,,,9,,,Inter-session interval is not reported.,{},doi:10.1162/089892902320474481::a,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/farne_ladavas_2002_auditory_pps_humans.json,"PDF pp.11-12, Experiment 1",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/089892902320474481::b,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,Auditory peripersonal space in humans. (b),distance_blocks,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,2,,,Order and spacing not reported.,{},doi:10.1162/089892902320474481::b,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/farne_ladavas_2002_auditory_pps_humans.json,PDF Experiment 2; manual review Segments 2 and 4,,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1371/journal.pone.0044306::a,doi:10.1371/journal.pone.0044306,canzoneri_2012_dynamic_sounds,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (a),dynamic_pps,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,2,,,One occasion split into two 94-trial blocks.,{},doi:10.1371/journal.pone.0044306::a,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1371_journal.pone.0044306__48110f1e7943.pdf,"PDF pp.2-3, main PPS experiment",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1371/journal.pone.0044306::b,doi:10.1371/journal.pone.0044306,,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (b),sound_localization,,1,secondary_task,toolkit_protocol,sequence_start,,,,,,,,1,,,,{},doi:10.1371/journal.pone.0044306::b,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1371_journal.pone.0044306__48110f1e7943.pdf,"PDF p.3 and Fig. 1B, sound-localization experiment",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1111/j.1467-9280.2007.01952.x,doi:10.1111/j.1467-9280.2007.01952.x,serino_2007_blind_cane_users,Extended multisensory space in blind cane users.,initial_cane_handle_pps,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,2,,,Cane/handle order counterbalanced; both cohorts.,{},doi:10.1111/j.1467-9280.2007.01952.x,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_j.1467-9280.2007.01952.x__b2722bf710ee.pdf,"PDF pp.2-4, Subjects and Procedure",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1111/j.1467-9280.2007.01952.x,doi:10.1111/j.1467-9280.2007.01952.x,serino_2007_blind_cane_users,Extended multisensory space in blind cane users.,sighted_cane_training,Blindfolded cane object-finding training,2,training,external_operator,after,initial_cane_handle_pps,initial_cane_handle_pps,,,,,,,600,,,{},,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_j.1467-9280.2007.01952.x__b2722bf710ee.pdf,"PDF pp.2-4, Subjects and Procedure",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1111/j.1467-9280.2007.01952.x,doi:10.1111/j.1467-9280.2007.01952.x,serino_2007_blind_cane_users,Extended multisensory space in blind cane users.,sighted_immediate_pps,,3,pps_measurement,toolkit_protocol,after,sighted_cane_training,sighted_cane_training,,,,,immediate,,,,,{},doi:10.1111/j.1467-9280.2007.01952.x,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_j.1467-9280.2007.01952.x__b2722bf710ee.pdf,"PDF pp.2-4, Subjects and Procedure",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1111/j.1467-9280.2007.01952.x,doi:10.1111/j.1467-9280.2007.01952.x,serino_2007_blind_cane_users,Extended multisensory space in blind cane users.,sighted_day1_pps,,4,pps_measurement,toolkit_protocol,separate_visit,sighted_immediate_pps,,,,,,one day,,,,Approximately one day after training; sighted cohort only.,{},doi:10.1111/j.1467-9280.2007.01952.x,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_j.1467-9280.2007.01952.x__b2722bf710ee.pdf,"PDF pp.2-4, Subjects and Procedure",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cub.2013.01.043::a,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (a),condition_pps_measurements,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,2,,,,{},doi:10.1016/j.cub.2013.01.043::a,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf,"PDF pp.1,5, Experiment 1 and Design/Procedure",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
