study_row_id,network_node_id,record_id,study_label,acquisition_id,acquisition_label,outcome_family,modality_or_signal,primary_measure,binding_mode,device_or_system,channels_or_sites_json,event_trigger,clock_sync_method,acquisition_window,primary_outcome_definition,calibration_or_online_processing,applies_to_event_ids,applies_to_pps_occurrence_ids,profile_or_protocol_ref,source_type,review_date,source_file,page_or_section,evidence_note,derivation_note,current_toolkit_support,current_toolkit_paths,runtime_or_untyped_inputs,future_toolkit_paths,analysis_model_scope
doi:10.1371/journal.pone.0044306::a,doi:10.1371/journal.pone.0044306,canzoneri_2012_dynamic_sounds,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (a),vocal_tactile_rt,Dynamic-sound tactile RT,behavioral_response,voice-onset response event,voice-onset RT and response accuracy,native_response_log,CIRO plus voice-activated relay,[],right-index 100-ms electrical onset,shared_device_clock,tactile onset to voice onset; online deadline not reported,Tactile RT by IN/OUT and T0-T6; sigmoid boundary derived downstream,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1371_journal.pone.0044306__48110f1e7943.pdf,"PDF pp.2-4, Method and Results",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1371/journal.pone.0044306::b,doi:10.1371/journal.pone.0044306,,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (b),verbal_sound_location,Perceived sound-location rating,behavioral_response,verbal ordinal rating,1-100 perceived-distance rating,operator_recorded,operator-recorded verbal response; device unspecified,[],end-of-trial rating prompt after forearm marker,posthoc_alignment,after each trial; no deadline,Perceived location by IN/OUT and T1-T5,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1371_journal.pone.0044306__48110f1e7943.pdf,"PDF p.3 and Fig. 1B, sound-localization experiment",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/j.1467-9280.2007.01952.x,doi:10.1111/j.1467-9280.2007.01952.x,serino_2007_blind_cane_users,Extended multisensory space in blind cane users.,vocal_tactile_rt,Vocal weak-target RT,behavioral_response,voice-onset response event,voice-onset RT and Go/NoGo errors,native_response_log,XGen plus voice-activated relay,[],weak right-index electrical onset,shared_device_clock,tactile onset to voice onset; online deadline not reported,Near-versus-far sound modulation of weak-target RT across cane/handle and cohort-specific occasions,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_j.1467-9280.2007.01952.x__b2722bf710ee.pdf,"PDF pp.2-4, Procedure, Materials, and Results",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1007/s00221-013-3532-2::a,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,Tool-use reshapes the boundaries of body and peripersonal space representations. (a),tactile_vocal_rt,Vocal tactile-detection reaction time,behavioral_response,voice-onset response event,reaction time from tactile target onset,native_response_log,voice-activated relay,[],tactile target onset,unclear,,TAH voice-onset latency on tactile-target trials; see task_response for Go/NoGo mechanics.,participant tactile calibration; exact relay latency handling not reported,,,doi:10.1007/s00221-013-3532-2::a,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf,"PDF p.4, Experiment 1A",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1162/jocn_a_00006::a,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (a),vocal_rt,Experiment 1A weak/strong target RT,behavioral_response,behavioral response log,voice-onset reaction time,native_response_log,voice-activated relay; XGen presentation/logging,"""single participant response channel""",electrical tactile onset,shared_device_clock,From tactile onset to voice onset; deadline not reported,Tactile RT for near/far/no sound across target/TMS conditions,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.3-7, Experiments 1A-2 and TMS",Experiment 1A weak/strong target RT; acquisition rows are limited to this formal experiment part.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1162/jocn_a_00006::b,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (b),vocal_rt,Experiment 1B hand-position RT,behavioral_response,behavioral response log,voice-onset reaction time,native_response_log,voice-activated relay; XGen presentation/logging,"""single participant response channel""",electrical tactile onset,shared_device_clock,From tactile onset to voice onset; deadline not reported,Tactile RT for near/far/no sound across target/TMS conditions,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.3-7, Experiments 1A-2 and TMS",Experiment 1B hand-position RT; acquisition rows are limited to this formal experiment part.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),vocal_rt,Experiment 2 rTMS-site RT,behavioral_response,behavioral response log,voice-onset reaction time,native_response_log,voice-activated relay; XGen presentation/logging,"""single participant response channel""",electrical tactile onset,shared_device_clock,From tactile onset to voice onset; deadline not reported,Tactile RT for near/far/no sound across target/TMS conditions,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.3-7, Experiments 1A-2 and TMS",Experiment 2 rTMS-site RT; acquisition rows are limited to this formal experiment part.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),tms_emg_calibration,TMS/EMG motor-threshold calibration,tms_mep,surface EMG motor-evoked potential calibration preceding rTMS,resting motor threshold and MEP >=50 microvolts,hardware_triggered_external_system,Magstim Rapid2 figure-of-eight coil; MP-150 Biopac EMG,"""right first dorsal interosseous belly-tendon EMG; wrist ground""",single TMS pulse over left motor cortex,hardware_trigger,MEP response after each calibration pulse; exact epoch bounds not reported,Resting motor threshold used to set rTMS intensity at 90% rMT,"EMG 30-500 Hz, sampled at 5 kHz; rMT = >=50-microvolt MEP on 50% of pulses",,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.3-7, Experiments 1A-2 and TMS",Experiment 2 rTMS-site RT; acquisition rows are limited to this formal experiment part.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.3389/fpsyt.2014.00122,doi:10.3389/fpsyt.2014.00122,taffou_2014_cynophobic_rear_looming,Cynophobic fear adaptively extends peri-personal space.,tactile_button_rt,Threat-modulated tactile RT,behavioral_response,behavioral response event,button RT and catch accuracy,native_response_log,Presentation and response button,[],left-index 20-ms vibration onset,shared_device_clock,tactile onset to button; online deadline not reported,"Tactile RT by threat, rear hemispace, delay, and fear group",,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fpsyt.2014.00122__1e91f2bf0fe4.pdf,"PDF pp.2-4, Main Experiment",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1371/journal.pone.0006582::a,doi:10.1371/journal.pone.0006582,serino_2009_tms,Motor properties of peripersonal space in humans. (a),tms_mep,Experiment 1 hand-forward TMS/MEP,tms_mep,surface EMG motor-evoked potentials elicited by single-pulse TMS,peak-to-peak MEP amplitude and baseline-normalized MEPi,hardware_triggered_external_system,Magstim Rapid2 figure-of-eight coil; Biopac MP-150 EMG,"""right FDI and ADM belly-tendon EMG, wrist ground; left motor cortex TMS""",TMS pulse +50/+100/+200/+300 ms after near/far auditory onset,unclear,EMG sampled at 5 kHz around TMS pulse; exact stored epoch bounds not reported,"MEP amplitude/MEPi modulation by sound space, TMS delay, intensity, muscle, and hand-position experiment",EMG 20 Hz-1 kHz; rMT >=50 microvolts on 50% of pulses; TMS 120/140% rMT; peak-to-peak MEP and PRE/POST baseline normalization,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1371_journal.pone.0006582__fe73a47a3f39.pdf,"PDF pp.2-4, TMS, Procedure, and Data analysis",Experiment 1 hand-forward TMS/MEP; separated from the other formal experiment.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1371/journal.pone.0006582::b,doi:10.1371/journal.pone.0006582,serino_2009_tms,Motor properties of peripersonal space in humans. (b),tms_mep,Experiment 2 hand-backward TMS/MEP,tms_mep,surface EMG motor-evoked potentials elicited by single-pulse TMS,peak-to-peak MEP amplitude and baseline-normalized MEPi,hardware_triggered_external_system,Magstim Rapid2 figure-of-eight coil; Biopac MP-150 EMG,"""right FDI and ADM belly-tendon EMG, wrist ground; left motor cortex TMS""",TMS pulse +50/+100/+200/+300 ms after near/far auditory onset,unclear,EMG sampled at 5 kHz around TMS pulse; exact stored epoch bounds not reported,"MEP amplitude/MEPi modulation by sound space, TMS delay, intensity, muscle, and hand-position experiment",EMG 20 Hz-1 kHz; rMT >=50 microvolts on 50% of pulses; TMS 120/140% rMT; peak-to-peak MEP and PRE/POST baseline normalization,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1371_journal.pone.0006582__fe73a47a3f39.pdf,"PDF pp.2-4, TMS, Procedure, and Data analysis",Experiment 2 hand-backward TMS/MEP; separated from the other formal experiment.,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
