"visible_gui_item","segment_or_surface","control_kind","coverage_status","evidence_matrix_row_or_reason","manuscript_reporting_location","notes"
"PPS Toolkit / Documentation / Downloads site tabs","Global dashboard shell","release_documentation","audited_non_method_control","Top-level publication and release surfaces; not a PPS experimental parameter.","README; Open Practices Statement","Audited so documentation/download navigation is not mistaken for a literature-bearing design decision."
"Local Companion backend URL, token, and Connect button","Global dashboard shell","companion_boundary","matrix_row","Dashboard mode: view, edit, hosted preview, and local acquisition boundary","Profiles and Project Registry; Reporting Checklist","Separates hosted/static inspection from local mutation, file writing, and native acquisition."
"View and Edit mode buttons","Global dashboard shell","suite_boundary","matrix_row","Dashboard mode: view, edit, hosted preview, and local acquisition boundary","Profiles and Project Registry; Reporting Checklist","Read-only profile inspection, editable local project work, and acquisition are distinct evidence states."
"Left-rail Segment 0-6 step links and readiness badges","Global dashboard shell","view_navigation","audited_non_method_control","Workflow navigation/status display; the underlying Segment 0-6 decisions are covered in evidence_matrix.csv.","PPS Toolkit Overview","Navigation does not create experimental parameters, but it reveals which segment artifacts are ready or stale."
"Segment About buttons and information modal","Global dashboard shell","view_navigation","audited_non_method_control","Inline explanatory/help surface; not a PPS experimental parameter.","README","Modal close/cancel controls are interaction mechanics rather than design decisions."
"Study/profile selector","Segment 0","design_decision","matrix_row","Segment 0: choose bundled study profile or custom design","Profiles and Project Registry; Reporting Checklist","Covers bundled published profiles, the Study 5 profile, blocked/partial recreations, and custom designs."
"Profile summary, recreation notice, citation, and verification status","Segment 0","design_decision","matrix_row","Segment 0: citation and provenance display","Profiles and Project Registry; Reporting Checklist","Represents source-pointer provenance and profile caveats, not exact original-apparatus equivalence."
"Refresh state button","Segment 0","view_navigation","audited_non_method_control","State refresh action; not a PPS experimental parameter.","gui_control_coverage.csv only","Refreshes local/dashboard state without changing the saved design."
"Edit As New Study and custom-study modal name field","Segment 0","suite_boundary","matrix_row","Dashboard mode: view, edit, hosted preview, and local acquisition boundary","Profiles and Project Registry; Reporting Checklist","Turns a read-only profile into an editable local custom project."
"Design name field","Segment 0","design_decision","matrix_row","Segment 0: preserve project/design name","Profile and Provenance Decisions; Reporting Checklist","Provides stable design identity for profile snapshots and manifests."
"Existing custom study selector and Open Custom Study button","Segment 0","suite_boundary","matrix_row","Segment 0: choose bundled study profile or custom design","Profiles and Project Registry","Loads a local reusable design rather than a bundled read-only profile."
"Apply Design and Apply Profile / Create Project Folder buttons","Segment 0","execution_gate","matrix_row","Dashboard workflow: apply, bake, accept, and prepare gates","PPS Toolkit Overview; Reporting Checklist","Materializes or updates the local project registry and clears stale downstream products when needed."
"Open profile folder button","Segment 0","view_navigation","audited_non_method_control","Local folder opener; not a PPS experimental parameter.","gui_control_coverage.csv only","Useful for inspection but does not change methods logic."
"Export Settings to Data Acquisition Folder and Open Folder","Segment 0","execution_gate","matrix_row","Segment 6: output-folder preparation","Experiment Preparation and Native Runner Handoff; Reporting Checklist","Copies settings into an acquisition workspace while keeping saved profiles distinct from participant outputs."
"Trajectory 2D/3D mode, view presets, zoom, fit radius, reset camera","Segment 1","view_navigation","audited_non_method_control","View-only trajectory camera controls; not a PPS experimental parameter.","gui_control_coverage.csv only","The trajectory values being previewed are covered by distance, direction, and timing rows."
"Start distance and end distance fields","Segment 1","design_decision","matrix_row","Segment 1: start and end distance","Auditory Ingredients; Design-decision Evidence Matrix","Core looming-distance parameters used across dynamic PPS profiles."
"Start rotation and end rotation fields","Segment 1","design_decision","matrix_row","Segment 1: azimuth, elevation, and spatial direction","Auditory Ingredients; Spatial Audio and HRTF Resources","Represents body-relative direction/azimuth for front, rear, left, right, and lateral profile variants."
"Movement duration, start hold, and end hold fields","Segment 1","design_decision","matrix_row","Segment 1: motion direction and speed","Auditory Ingredients; Design-decision Evidence Matrix","Defines active motion speed and pre/post endpoint holds."
"Generate Looming Noise selector","Segment 1","design_decision","matrix_row","Segment 1: choose noise or sound class","Auditory Ingredients; Design-decision Evidence Matrix","Covers generated noise classes such as pink/white and other source categories."
"Custom Looming Tone import button","Segment 1","design_decision","matrix_row","Segment 1: generate looming noise or import source","Auditory Ingredients","Imports a user source that should be spatialized with the selected trajectory."
"Custom Audio Clip import button","Segment 1","design_decision","matrix_row","Segment 1: generate looming noise or import source","Auditory Ingredients; Within-trial Sequences","Preserves instruction, speech, or fixed clips for later trial sequencing."
"Bake label field","Segment 1","artifact_identity","matrix_row","Dashboard workflow: apply, bake, accept, and prepare gates","Reporting Checklist","Names the durable source artifact that downstream sequence boxes refer to."
"Source mode Burst train / Smooth linear radio widgets","Segment 1","design_decision","matrix_row","Segment 1: source mode burst train versus smooth linear","Auditory Ingredients; Design-decision Evidence Matrix","Captures the field variation between salient burst-train and continuous/smooth looming sources."
"Loudness Contract fields","Segment 1","design_decision","matrix_row","Segment 1: loudness contract and gain law","Auditory Level and Loudness Policy; Reporting Checklist","Includes start/end SPL targets, instruction offset, full-scale estimate, and peak ceiling."
"Bake Ingredient button","Segment 1","execution_gate","matrix_row","Dashboard workflow: apply, bake, accept, and prepare gates","PPS Toolkit Overview; Reporting Checklist","Materializes source WAVs/manifests from the currently displayed source and trajectory decisions."
"Generated/local source cards: label, noise color, azimuth, elevation, source-profile chip","Segment 1","design_decision","matrix_row","Segment 1: choose noise or sound class; Segment 1: azimuth, elevation, and spatial direction; Segment 1: source mode burst train versus smooth linear","Auditory Ingredients","Card fields preserve source identity and per-source trajectory overrides."
"Generated/local source cards: Open Folder and Remove controls","Segment 1","view_navigation","audited_non_method_control","Folder inspection and source-pool editing controls; downstream invalidation is covered by the materialization-gates row.","PPS Toolkit Overview","Removing or renaming a source is a project edit, but the button itself is not a literature decision."
"Continue To Trial Sequence button","Segment 1","view_navigation","audited_non_method_control","Workflow navigation; not a PPS experimental parameter.","gui_control_coverage.csv only","Advances the visible workflow after Segment 1 decisions."
"Custom clip imports and snippet list","Segment 2","design_decision","matrix_row","Segment 2: ordered audio boxes","Within-trial Sequences","Provides fixed/prestimulus clips that can be arranged before or among looming sources."
"Trial-sequence row add, condition label, move, and remove controls","Segment 2","design_decision","matrix_row","Segment 2: define trial sequence rows/families","Within-trial Sequences; Design-decision Evidence Matrix","Defines row/family identity and preserves meaningful row order for later block construction."
"Add sequence box control","Segment 2","design_decision","matrix_row","Segment 2: ordered audio boxes","Within-trial Sequences","Makes within-trial temporal order explicit before tactile insertion."
"Audio-box label picker, Add, remove-label, and source preview buttons","Segment 2","design_decision","matrix_row","Segment 2: alternatives within a box; Segment 2: per-source soundcheck","Within-trial Sequences","Multiple labels in one box create condition alternatives while preview buttons verify chosen source identity."
"Jitter / ITI box toggle and jitter-values textarea","Segment 2","design_decision","matrix_row","Segment 2: jitter boxes","Within-trial Sequences","Stores silent/timing components rather than hiding them in WAV filenames."
"Row composition percentage fields for audio-tactile, catch, and baseline rows","Segment 2","design_decision","matrix_row","Segment 4: repetition counts; Segment 3: baseline strategy; Segment 3: audio-only catch files","Repetition Pools and Block Review","A row-level composition shortcut feeds the later repetition-pool and baseline/catch construction logic."
"Prelisten trial type button","Segment 2","view_navigation","matrix_row","Segment 2: per-source soundcheck","Within-trial Sequences","Preview/audition evidence, not a new experimental factor."
"Bake Trial Sequences button","Segment 2","execution_gate","matrix_row","Dashboard workflow: apply, bake, accept, and prepare gates","PPS Toolkit Overview; Reporting Checklist","Materializes row-level sequence WAVs and timing manifests."
"Open Trial Sequence folder and Continue To Baseline And Tactile buttons","Segment 2","view_navigation","audited_non_method_control","Folder inspection and workflow navigation; not PPS experimental parameters.","gui_control_coverage.csv only","The baked sequence content is covered by Segment 2 rows."
"SOA values field","Segment 3","design_decision","matrix_row","Segment 3: SOA selection","Tactile and Baseline Trial Generation; Reporting Checklist","Defines tactile timing anchors for target and baseline files."
"Include Catch Trials checkbox","Segment 3","design_decision","matrix_row","Segment 3: audio-only catch files","Tactile and Baseline Trial Generation; Reporting Checklist","Creates audio-only no-tactile trials for response-probability checks."
"Baseline option cards: no baseline, minimum anchor, maximum anchor, tactile-only, stationary bursts, custom timings","Segment 3","design_decision","matrix_row","Segment 3: baseline strategy; Segment 3: tactile-only baseline; Segment 3: stationary-burst baseline files","Tactile and Baseline Trial Generation; Design-decision Evidence Matrix","Captures control-condition variation across PPS studies."
"Custom baseline SOAs and custom baselines keep full trial audio checkbox","Segment 3","design_decision","matrix_row","Segment 3: baseline strategy","Tactile and Baseline Trial Generation","Separates custom tactile-only timing from custom audio-tactile control timing."
"Bake Baseline/Tactile Trials button","Segment 3","execution_gate","matrix_row","Dashboard workflow: apply, bake, accept, and prepare gates","PPS Toolkit Overview; Reporting Checklist","Materializes target, baseline, and catch WAV sets from Segment 2 and SOA/baseline settings."
"Trial File Oversight counts and baseline factor tree","Segment 3","artifact_review","audited_non_method_control","Generated-artifact review display; not an independent PPS parameter.","Validation and Use Cases","Audits the effects of baseline/catch decisions before repetition expansion."
"Open Trial File folder and Continue To Trial Repetition Pool buttons","Segment 3","view_navigation","audited_non_method_control","Folder inspection and workflow navigation; not PPS experimental parameters.","gui_control_coverage.csv only","Covered to prevent overcounting navigation as methods variation."
"Set all folders to repetition field and Apply To Folders button","Segment 4","design_decision","matrix_row","Segment 4: repetition counts","Repetition Pools and Block Review; Reporting Checklist","Controls trial budget, condition balance, and participant burden."
"Per-folder repetition override list","Segment 4","design_decision","matrix_row","Segment 4: repetition counts","Repetition Pools and Block Review","Allows baseline/catch/source-family count differences to be represented explicitly."
"Pool Oversight family percentages and duration calculation","Segment 4","artifact_review","matrix_row","Segment 4: duration estimates","Repetition Pools and Block Review","Review display for trial composition and estimated burden."
"Bake Trial Pool CSV button","Segment 4","execution_gate","matrix_row","Dashboard workflow: apply, bake, accept, and prepare gates","PPS Toolkit Overview; Reporting Checklist","Materializes the repetition-pool CSV consumed by block generation."
"Open Trial Pool folder and Continue To Block CSV Preview buttons","Segment 4","view_navigation","audited_non_method_control","Folder inspection and workflow navigation; not PPS experimental parameters.","gui_control_coverage.csv only","The trial-count decisions are already covered."
"Blocks field","Segment 5","design_decision","matrix_row","Segment 5: deterministic block generation","Repetition Pools and Block Review; Reporting Checklist","Defines the number of block CSVs to generate and inspect."
"Download Randomization button","Segment 5","execution_gate","matrix_row","Segment 5: accept/edit/download randomization","Repetition Pools and Block Review","Exports the generated block schedule for reporting or preregistration support."
"Block CSV bake progress and generated block preview list","Segment 5","artifact_review","matrix_row","Segment 5: deterministic block generation","Repetition Pools and Block Review","Review surface for checking generated schedules before acceptance."
"Regenerate Blocks button","Segment 5","design_decision","matrix_row","Segment 5: deterministic block generation","Repetition Pools and Block Review","Creates a new reproducible block realization from the current pool constraints."
"Accept Blocks button","Segment 5","execution_gate","matrix_row","Dashboard workflow: apply, bake, accept, and prepare gates; Segment 5: accept/edit/download randomization","PPS Toolkit Overview; Reporting Checklist","Locks the reviewed schedule for Segment 6 handoff."
"Planned participants field","Segment 6","design_decision","matrix_row","Segment 6: participant count","Experiment Preparation and Native Runner Handoff","Defines participant-level block-order manifest size."
"Experiment parts 1 part / 2 parts radio controls","Segment 6","design_decision","matrix_row","Segment 6: one-part versus two-part structure","Experiment Preparation and Native Runner Handoff","Represents single-session and split pre/post-style acquisition structures."
"Preload instruction clips: enabled, label, Load Audio, continue mode, delay, runner button label","Segment 6","design_decision","matrix_row","Segment 2: ordered audio boxes; Segment 6: native runner handoff","Experiment Preparation and Native Runner Handoff","Runner instruction clips affect within-run structure and operator/participant continuation behavior."
"Block permutation preview table","Segment 6","artifact_review","matrix_row","Segment 6: participant block-order permutations","Experiment Preparation and Native Runner Handoff","Displays participant-by-part block orders before runner launch."
"Regenerate Sequence button","Segment 6","design_decision","matrix_row","Segment 6: participant block-order permutations","Experiment Preparation and Native Runner Handoff","Regenerates participant block-order assignments from accepted Segment 5 blocks."
"Save as New Study Profile button and save-profile modal","Segment 6","execution_gate","matrix_row","Segment 6: output-folder preparation; Segment 0: preserve project/design name","Design, Run, and Recreation Pathway","Turns an accepted/prepared design into a reusable local profile snapshot."
