recommendation_tier,article,why_similar_to_pps_toolkit,style_transfer_for_manuscript,caveat_for_pps_toolkit,citation_key_or_source,consensus_url
"Closest suite model","The open toolbox for behavioral research","A broad open behavioral-control toolbox with heterogeneous hardware and paradigms.","Frame PPS Toolkit as a continuing extensible research instrument with supported routes and example workflows, not as a finished theory test.","Do not imply the same breadth of species, hardware, or maturity.","Otto2023","https://consensus.app/papers/details/79609fa5614b5c7194e007b439967be8/?utm_source=unknown"
"Closest domain-toolbox model","vexptoolbox: A software toolbox for human behavior studies using the Vizard virtual reality platform","A domain-specific toolbox that fills missing trial-structure, randomization, recording, and standardized-output support around an existing presentation platform.","State the domain barrier, then walk through how the toolkit turns PPS task structure into reusable files and runner outputs.","Do not claim VR-style ecological validity; PPS Toolkit's domain is audio-tactile PPS acquisition and profile recreation.","Schuetz2022","https://consensus.app/papers/details/20d7f9037a2059bb92c19737c6f5851b/?utm_source=unknown"
"General experiment-builder model","Gorilla in our midst: An online behavioral experiment builder","A graphical builder paper that connects usability, timing-sensitive tasks, deployment settings, and limitations.","Explain why GUI decisions matter scientifically and keep timing limitations visible.","PPS Toolkit should not claim browser acquisition; hosted pages remain preview/orchestration surfaces.","AnwylIrvine2018","https://consensus.app/papers/details/e0428803d0965a3ab7e63b7290258632/?utm_source=unknown"
"General experiment-builder model","PsychoPy2: Experiments in behavior made easy","A mature experiment tool paper balancing graphical building, scripting flexibility, timing, hardware polling, and open-science reuse.","Use practical workflow language and describe what the builder records for reproducibility.","PPS Toolkit is narrower and should avoid sounding like a general-purpose replacement for PsychoPy.","Peirce2019","https://consensus.app/papers/details/6bf3127b88495139960fcaa21c004c06/?utm_source=unknown"
"Multimodal calibration model","PsySuite: An android application designed to perform multimodal psychophysical testing","A multimodal mobile psychophysics tool with stimulus accuracy, onset/offset, and cross-modal simultaneity validation.","When describing audio-tactile routes, state what timing layer has been validated and on what device class.","PPS Toolkit's Windows runner and phone/preview paths need route-specific validation; one route cannot stand in for all routes.","Inuggi2024","https://consensus.app/papers/details/7377b01222de53f8a394e049ad723072/?utm_source=unknown"
"Tactile-method model","Delivering tactile stimuli via mobile browsers: A method for remote multisensory research","A BRM tactile-delivery paper that separates behavioral replication from visual, auditory, and vibration timing characteristics.","Use it as a template for separating tactile software scheduling, actuator mechanics, and participant perception.","Do not cite tactile scheduling as proof of Woojer mechanical onset or participant threshold stability.","Hirst2026","https://consensus.app/papers/details/87c2175d3e505d75a92740fba460b617/?utm_source=unknown"
"Calibration-boundary model","Enhancing eye tracking for nonhuman primates and other subjects unable to follow instructions: Adaptive calibration and validation of Tobii eye trackers with the Titta toolbox","A toolbox extension where calibration procedure, validation, and population-specific constraints are central methods contributions.","Model tactile-threshold calibration and adaptive safeguards as procedures with logs and validation boundaries.","The two-miss tactile nudge is an operator safeguard until empirical bias/completeness evidence exists.","Niehorster2024Adaptive","https://consensus.app/papers/details/c2bbd5a3cf685d2e85bf693a3809a88e/?utm_source=unknown"
"Device-evaluation model","Evaluation of the Tobii EyeX Eye tracking controller and Matlab toolkit for research","A low-cost device/toolkit paper that names accuracy, precision, latency, and unsuited use cases.","Use similarly explicit route suitability language for Komplete/Woojer/HRTF and profile-recreation claims.","Do not let a working route become an unsupported universal hardware claim.","Gibaldi2016","https://consensus.app/papers/details/412679f2ebce55188fd49cb2678e282a/?utm_source=unknown"
"Analysis-handoff model","Mousetrap: An integrated, open-source mouse-tracking package","A tool that integrates with a graphical experiment builder and carries data into analysis workflows.","Use it as a model for explaining the runner-to-analysis handoff while keeping analysis exploratory unless preregistered.","Instant analysis should stay QC/exploratory, not a paper-level effect confirmation.","Kieslich2017","https://consensus.app/papers/details/2a298af6d50057c3883472f5d7b03557/?utm_source=unknown"
"Analysis-handoff model","PyTrack: An end-to-end analysis toolkit for eye tracking","An open analysis toolkit paper covering raw-data extraction, visualization, and statistical comparison stages.","Make PPS Toolkit's analysis outputs legible as one layer in a larger analysis workflow.","Do not imply automated model selection replaces preregistered confirmatory analysis.","Ghose2020","https://consensus.app/papers/details/7419facf764f54b685df061ac26ffce4/?utm_source=unknown"
"Embodied-threat suite model","Immersive VR for investigating threat avoidance: The VRthreat toolkit for Unity","A domain toolkit for controlled but semi-naturalistic threat episodes with behavioral, movement, and eye-tracking outputs.","Useful style model for presenting PPS Toolkit as a suite of configured episodes/trials with output evidence.","Do not blur immersive threat behavior with audio-tactile PPS unless the profile explicitly uses ecological/threat sounds.","Brookes2023","https://consensus.app/papers/details/58a4f375608252bc9fb11c231c49b6e4/?utm_source=unknown"
"Interoperability model","Psynteract: A flexible, cross-platform, open framework for interactive experiments","A framework paper that extends existing experiment builders rather than replacing stimulus presentation itself.","Use it to clarify boundaries between dashboard orchestration, local companion/backend, native runner, and external LabRecorder/LSL tools.","Do not describe PPS Toolkit as a single monolith when evidence depends on route-specific components.","Henninger2016","https://consensus.app/papers/details/719904130390522c9f6505457ef12198/?utm_source=unknown"
