claim_area,manuscript_claim,evidence_needed_for_strong_claim,current_source_evidence,current_status,safe_submission_phrasing,unsafe_or_premature_phrasing,next_required_artifact
"BRM article type","PPS Toolkit is a Behavior Research Methods-style methods/software suite paper, not a new participant-effect paper.","Springer/BRM fit; same-journal comparator rationale; software/method workflow and reusable artifacts.","main.tex contribution/journal-fit section; brm_comparator_articles.csv; critical_review.md; submission_readiness_audit.md.","source-ready","PPS Toolkit is presented as a methods/software suite for designing, running, validating, and recreating audio-tactile PPS experiments.","PPS Toolkit proves a new PPS effect or resolves theoretical disagreements about PPS boundaries.","Final human copy edit plus final release/declaration metadata."
"Literature review scope","The literature work is an evidence matrix of design decisions, not a formal meta-analysis.","Explicit review boundary; source-pointer matrix; no PRISMA/effect-size claims.","main.tex introduction and reporting checklist; evidence_matrix.csv; submission_readiness_audit.md formal meta-analysis row.","source-ready","The manuscript uses a structured evidence matrix to map GUI decisions to methodological variation in the literature.","The manuscript is a systematic review or meta-analysis of audio-tactile PPS effects.","PRISMA-style protocol, screening log, extracted effect sizes, and synthesis code if this claim is ever desired."
"Every GUI methods decision","Visible Segment 0-6 methods decisions are represented in the evidence/control ledgers.","Source audit of current dashboard controls; literature-bearing controls mapped to matrix rows; operational UI separated from methods choices.","gui_control_coverage.csv; dashboard_control_recheck_20260630.md; evidence_matrix.csv.","source-ready with rerun condition","Every visible Segment 0-6 methods decision in the audited dashboard source is represented in the control ledger and, where literature-bearing, in the evidence matrix.","Every visual element or future dashboard edit is permanently covered without re-audit.","Rerun control/source audit after any dashboard control change; add visual/click validation for GUI usability claims."
"Full suite framing","The toolkit is a suite for designing, running, validating, and recreating/scaffolding PPS experiments.","Manuscript sections covering design workflow, profile recreation, native runner handoff, evidence tiers, and exploratory analysis.","main.tex title, abstract, Design Run and Recreation Pathway, technical method, validation/use cases; submission_readiness_audit.md.","source-ready as draft framing","The toolkit provides a segmented design-run-recreation workflow with separate evidence layers.","The toolkit is submission-ready as a fully validated acquisition platform for all hardware routes.","Release DOI/commit, final validation archive, and publication-hardware run artifacts."
"Published-profile recreation","Profiles can recreate or scaffold reported PPS paradigms as auditable configurations.","Source-paper fields, represented/missing field ledger, rights/substitution ledger, Segment 6 materialization evidence.","profile_family_examples.csv; validation_evidence.csv Protocol 12 row; main.tex profile-family table and caveats.","partially supported","Profiles represent reported timing, direction, baseline, and runner-handoff fields where source evidence is available, with missing fields and substitutions caveated.","Profiles exactly replicate original apparatus, private stimuli, and participant effects across all listed studies.","Profile-specific source audit, rights ledger, apparatus notes, original-stimulus availability or substitution validation."
"Study 5-style example","The bundled Study 5-style workflow can be used as a runnable example of the suite.","Segment 0-6 materialization, runner package preparation, source manifests, block schedules, validation report, artifact hashes.","validation_evidence.csv Protocol 12 row; main.tex Study 5-style Workflow section.","partially supported","A Study 5-style profile demonstrates Segment 0-6 materialization and runner handoff.","The example validates final physical timing, tactile mechanics, or participant-level PPS effects.","Publication release archive with exact manifests, package hashes, screenshots, route diagram, and hardware validation summary."
"Auditory source decisions","Burst-train and smooth/continuous looming source choices are first-class design decisions with literature variation.","Evidence matrix rows; source-profile metadata; generated assets and hashes; source-mode documentation.","evidence_matrix.csv; gui_control_coverage.csv; main.tex Auditory Ingredients; For-AI looming standard.","source-ready","The toolkit exposes burst-train and smooth-linear source modes because PPS studies use different auditory source forms.","Burst train is universally superior or equivalent to all previous looming stimuli.","Profile-specific stimulus validation, perceptual salience checks, and source-rights review."
"Loudness and gain law","Loudness policy is a methods decision distinct from measured SPL evidence.","Gain/loudness metadata, default estimate caveat, physical measurement requirements.","main.tex Auditory Ingredients and technical method; evidence_matrix.csv loudness row; For-AI/loudness_calibration.md.","source-ready for metadata; blocked for measured SPL","The toolkit records loudness policy and estimated route metadata; participant-ear SPL claims require measurement.","The default estimate is a publication-grade SPL calibration.","Coupler/HATS or calibrated sound-level measurements for publication hardware."
"Spatial audio and HRTF","SOFA/FABIAN/3DTI metadata provide reproducible rendering provenance, not perceived-distance proof.","Renderer metadata; HRTF/SOFA source notes; local perceptual or localization validation for strong claims.","main.tex Spatial Audio and HRTF Resources; evidence_matrix.csv; procedural_gap_register.csv.","source-ready for provenance; blocked for perception","The toolkit records SOFA/HRTF/rendering provenance and separates it from perceived distance or externalization evidence.","HRTF metadata proves that participants perceived the intended distance, direction, or externalization.","Spatial-route validation, localization/externalization checks, individualized-HRTF evidence if claimed."
"Tactile calibration and misses","Tactile thresholding, misses, top-up, and adaptation safeguards are methods decisions; the 70 percent hit-rate observation is anecdotal unless artifacts are supplied.","Calibration artifacts, participant/run traces, analysis code, hit-rate plots, condition/time controls.","main.tex tactile calibration prose; evidence_matrix.csv; submission_readiness_audit.md; procedural_gap_register.csv.","partially supported","Pilot observations motivated run-local safeguards; quantitative hit-rate decline is not reported without traceable artifacts.","Tactile calibration inevitably causes a 70 percent hit rate or proves habituation in the reported task.","Traceable run folder, deidentified trial data, adaptive-threshold logs, analysis script, and ethics/data-sharing language."
