study_row_id,network_node_id,record_id,parameter_evidence_scope,target_parameter_path,value_raw,value_normalized,unit,field_status,confidence_score,confidence_label,source_type,source_file,page_or_section,evidence_note,review_attempts,protocol_lineage_id,orientation_evidence_class,provisional_implementation_hint,target_dictionary_pointer,reviewer_note,review_date
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.aggregation_mode,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.aggregation_mode,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.alpha,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.alpha,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.analysis_outlier_rule,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.analysis_outlier_rule,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.baseline_correction_method,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.baseline_correction_method,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.candidate_models,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.candidate_models,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.fit_metric_fallback,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.fit_metric_fallback,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.grouping_factors,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.grouping_factors,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.min_points_linear_log,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.min_points_linear_log,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.min_points_sigmoid,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.min_points_sigmoid,,
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,composite_requires_split,target.analysis.model_selection_criterion,,,,not_covered_by_current_audit,0.82,high_confidence_extraction,manual_review,,,not covered by current 25-field audit,metadata_audit.jsonl::record_id=farne_ladavas_2002_auditory_pps_humans::review_attempts,,,analysis_only,target_method_validation_dictionary.csv::target.analysis.model_selection_criterion,,
