priority_tier,priority_score,node_id,title,year,doi,publication_url,toolkit_status,network_prominence_rank,layer,segment,parameter_key,parameter_label,current_status,review_action,audit_record_ids,template_ids,source_statuses,notes
P0,144.57,doi:10.1111/j.1467-9280.2007.01952.x,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,https://doi.org/10.1111/j.1467-9280.2007.01952.x,supported_incomplete,3,toolkit_implementation,1,KIT.S1.profile_gap,Segment 1 profile gap,gap_missing,resolve_blocking_segment_gap,serino_2007_blind_cane_users,serino_2007_blind_cane_users,paywalled,"serino_2007_blind_cane_users: exact white-noise source asset, seed, and spectral recipe"
P0,144.57,doi:10.1111/j.1467-9280.2007.01952.x,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,https://doi.org/10.1111/j.1467-9280.2007.01952.x,supported_incomplete,3,toolkit_implementation,2,KIT.S2.profile_gap,Segment 2 profile gap,gap_missing,resolve_blocking_segment_gap,serino_2007_blind_cane_users,serino_2007_blind_cane_users,paywalled,serino_2007_blind_cane_users: exact ITI or jitter distribution and numeric response window
P0,144.57,doi:10.1111/j.1467-9280.2007.01952.x,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,https://doi.org/10.1111/j.1467-9280.2007.01952.x,supported_incomplete,3,toolkit_implementation,3,KIT.S3.profile_gap,Segment 3 profile gap,gap_missing,resolve_blocking_segment_gap,serino_2007_blind_cane_users,serino_2007_blind_cane_users,paywalled,"serino_2007_blind_cane_users: exact electrical tactile pulse duration, waveform, current, and electrode impedance calibration | serino_2007_blind_cane_users: exact voice-key response capture threshold and latency correction"
P0,144.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,toolkit_implementation,0,KIT.S0.profile_gap,Segment 0 profile gap,gap_missing,resolve_blocking_segment_gap,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,teneggi_2013_social_face_pps: other-person/mannequin context | teneggi_2013_social_face_pps: economic-game manipulation | teneggi_2013_social_face_pps: exact distance/timing table from supplement
P0,143.71,doi:10.1007/s00221-013-3532-2,Tool-use reshapes the boundaries of body and peripersonal space representations.,2013,10.1007/s00221-013-3532-2,https://doi.org/10.1007/s00221-013-3532-2,supported_incomplete,7,toolkit_implementation,2,KIT.S2.profile_gap,Segment 2 profile gap,gap_missing,resolve_blocking_segment_gap,canzoneri_2013_tool_use_reshaping,canzoneri_2013_tool_use_reshaping,needs_user_download,canzoneri_2013_tool_use_reshaping: exact trial count and ITI table from full paper
P0,142.85,doi:10.1016/j.neuropsychologia.2015.03.001,Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space.,2015,10.1016/j.neuropsychologia.2015.03.001,https://doi.org/10.1016/j.neuropsychologia.2015.03.001,supported_incomplete,11,toolkit_implementation,1,KIT.S1.profile_gap,Segment 1 profile gap,gap_missing,resolve_blocking_segment_gap,ferri_2015_artificial_valence | ferri_2015_ecological_valence,ferri_2015_artificial_looming_valence | ferri_2015_ecological_looming_valence,needs_user_download,ferri_2015_artificial_looming_valence: paper-specific gain envelope | ferri_2015_ecological_looming_valence: licensed ecological sounds | ferri_2015_ecological_looming_valence: sound-specific emotional validation | ferri_2015_ecological_looming_valence: exact amplitude envelopes
P0,142.63,doi:10.3389/fpsyt.2014.00122,Cynophobic fear adaptively extends peri-personal space.,2014,10.3389/fpsyt.2014.00122,https://doi.org/10.3389/fpsyt.2014.00122,supported_incomplete,12,toolkit_implementation,1,KIT.S1.profile_gap,Segment 1 profile gap,gap_missing,resolve_blocking_segment_gap,taffou_2014_cynophobic_rear_looming,taffou_2014_cynophobic_rear_looming,needs_user_download,taffou_2014_cynophobic_rear_looming: exact dog/sheep source audio and Audacity amplitude/dynamic matching settings | taffou_2014_cynophobic_rear_looming: LISTEN HRTF subject/filter identifier and renderer settings
P0,133,doi:10.1162/089892902320474481,Auditory peripersonal space in humans.,2002,10.1162/089892902320474481,https://doi.org/10.1162/089892902320474481,supported_incomplete,1,publication_evidence,2,PUB.S2.iti_jitter_policy,ITI/jitter policy,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,farne_ladavas_2002_auditory_pps_humans,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,133,doi:10.1162/089892902320474481,Auditory peripersonal space in humans.,2002,10.1162/089892902320474481,https://doi.org/10.1162/089892902320474481,supported_incomplete,1,publication_evidence,2,PUB.S2.response_window,Response window,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,farne_ladavas_2002_auditory_pps_humans,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,132.57,doi:10.1111/j.1467-9280.2007.01952.x,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,https://doi.org/10.1111/j.1467-9280.2007.01952.x,supported_incomplete,3,publication_evidence,2,PUB.S2.iti_jitter_policy,ITI/jitter policy,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,serino_2007_blind_cane_users,serino_2007_blind_cane_users,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
