current_toolkit_input_path,parameter_group,type_annotation,value_shape,unit,mapped_target_parameter_paths,mapped_target_count,target_binding_states,current_audit_parent_fields,current_input_contract_pointer,profile_encoding_matrix_pointer
design.name,design_identity_and_assets,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.name,study_instance_current_toolkit_input_matrix.csv::design.name
design.study_profile_id,design_identity_and_assets,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.study_profile_id,study_instance_current_toolkit_input_matrix.csv::design.study_profile_id
design.study_profile_title,design_identity_and_assets,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.study_profile_title,study_instance_current_toolkit_input_matrix.csv::design.study_profile_title
design.study_profile_notes,design_identity_and_assets,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.study_profile_notes,study_instance_current_toolkit_input_matrix.csv::design.study_profile_notes
design.study_profile_reference_parameters,design_identity_and_assets,"dict[str, Any]",object,,target.study.study_design_type | target.study.population_scope | target.study.planned_sample_n | target.study.participant_code_policy | target.study.group_labels | target.study.condition_labels | target.study.within_subject_factors | target.study.between_subject_factors | target.study.session_timepoints | target.study.assignment_counterbalancing | target.study.inclusion_criteria | target.study.exclusion_criteria | target.study.eligibility_screening | target.study.intervention_training | target.study.tool_condition | target.study.locomotion_condition | target.study.social_clinical_context | target.sources.semantic_valence_class | target.sources.source_origin_generation_method | target.sources.generation_software_version | target.rendering.audio_output_mode | target.rendering.renderer_engine | target.rendering.renderer_version | target.rendering.hrtf_database | target.rendering.hrtf_subject_id | target.rendering.hrtf_filter_id | target.rendering.near_field_compensation | target.rendering.ild_itd_policy | target.rendering.headphones_model | target.rendering.audio_interface_model | target.rendering.speaker_array_id | target.rendering.speaker_model | target.rendering.speaker_count | target.rendering.speaker_array_layout | target.rendering.speaker_switch_sequence | target.rendering.speaker_switch_times_ms | target.rendering.speaker_switch_channels | target.rendering.speaker_switch_gains | target.rendering.speaker_source_channel | target.rendering.room_acoustics | target.rendering.reverb_brir_policy | target.rendering.drr_iacc_policy | target.rendering.renderer_equivalence_boundary | target.rendering.level_mode | target.rendering.level_calibration_mode | target.rendering.level_calibration_status | target.rendering.start_spl_db | target.rendering.end_spl_db | target.rendering.instruction_offset_db | target.rendering.gain_envelope_shape | target.rendering.hold_level_policy | target.rendering.level_calibration_window_ms | target.rendering.estimated_full_scale_spl_db | target.rendering.peak_ceiling_dbfs | target.rendering.distance_gain_policy | target.rendering.level_setting_hardware_policy | target.rendering.visual_stimulus_type | target.rendering.visual_motion_profile | target.rendering.visual_start_distance_cm | target.rendering.visual_end_distance_cm | target.rendering.visual_speed_cm_s | target.rendering.visual_duration_ms | target.rendering.visual_renderer_engine | target.rendering.visual_display_device | target.rendering.mixed_reality_context | target.rendering.body_rendering_mode | target.rendering.audiovisual_synchrony_policy | target.rendering.mixed_reality_equivalence_boundary | target.tactile_protocol.tactile_modality | target.tactile_protocol.stimulator_model | target.tactile_protocol.electrode_site | target.tactile_protocol.tactile_source_or_delivery,72,untyped_object_container_only,stimulus_type | source_provenance | renderer_or_apparatus | gain_envelope | stimulus_speed | stimulus_duration | tactile_stimulus,current_toolkit_input_dictionary.csv::design.study_profile_reference_parameters,study_instance_current_toolkit_input_matrix.csv::design.study_profile_reference_parameters
design.sofa_file,design_identity_and_assets,str,scalar,,target.rendering.sofa_hrir_asset,1,typed_current_input,renderer_or_apparatus,current_toolkit_input_dictionary.csv::design.sofa_file,study_instance_current_toolkit_input_matrix.csv::design.sofa_file
design.noises[].label,generated_audio_sources,str,scalar,,target.sources.source_count | target.sources.source_labels | target.sources.auditory_condition_labels | target.trajectories.trajectory_labels,4,derived_not_input | composite_over_typed_current_inputs | partial_or_proxy_current_input,trajectory_count | auditory_conditions | trajectory_path,current_toolkit_input_dictionary.csv::design.noises[].label,study_instance_current_toolkit_input_matrix.csv::design.noises[].label
design.noises[].noise_type,generated_audio_sources,str,scalar,,target.sources.source_kind | target.sources.auditory_stimulus_type | target.sources.noise_type,3,partial_or_proxy_current_input | typed_current_input,source_provenance | stimulus_type,current_toolkit_input_dictionary.csv::design.noises[].noise_type,study_instance_current_toolkit_input_matrix.csv::design.noises[].noise_type
design.noises[].azimuth_deg,generated_audio_sources,float,scalar,degrees,,0,,,current_toolkit_input_dictionary.csv::design.noises[].azimuth_deg,study_instance_current_toolkit_input_matrix.csv::design.noises[].azimuth_deg
design.noises[].elevation_deg,generated_audio_sources,float,scalar,degrees,,0,,,current_toolkit_input_dictionary.csv::design.noises[].elevation_deg,study_instance_current_toolkit_input_matrix.csv::design.noises[].elevation_deg
