study_row_id,network_node_id,record_id,study_label,title,year,doi,experiment_letter,experiment_label,profile_id,parameter_evidence_scope,evidence_stage,toolkit_status,auditory_stimulus,trajectory_kinematics,trial_sequence,task_response,jitter_iti_policy,soa_schedule,tactile_target,baseline_trial_contract,catch_trial_contract,repetition_allocation,block_order_contract,study_structure_schedule,measurement_acquisition_outcome
doi:10.1162/089892902320474481::a,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,Auditory peripersonal space in humans. (a),Auditory peripersonal space in humans.,2002,10.1162/089892902320474481,a,Experiment 1 — right-side front/back × near/far × sound type,,composite_requires_split,manual_review,supported_incomplete,"Static free-field wideband white-noise bursts and 1.5-kHz pure tones, level-adjusted to 70 dB at the ear and emitted by a 0.3-W, 8-ohm loudspeaker under sensor/switch control; reusable source waveforms are not supplied.","Static right-front and right-back sources at 20 or 70 cm from the head, ear level and 45 degrees from the sagittal plane; sound lasts for the tactile contact (brief, under 1 s), so motion speed is not applicable.","One tactile-only baseline condition plus eight cross-modal blocks (2 sound types x front/back x 20/70 cm). Each 40-trial block used 10 single-left, 10 single-right, 10 bilateral/simultaneous and 10 no-stimulation rows in the same pseudorandom order; the full protocol ran twice.","After an experimenter attention prompt, participants verbally reported left, right, both, or none after each event, regardless of modality.","No ITI, inter-trial interval, jitter value, or distribution was recovered after the main-PDF, targeted, fallback, and supplement-route checks.",Cross-modal sound and touch were simultaneous (nominal 0-ms SOA); there was no varied SOA ladder.,"Brief light contact under 1 s with a 1-cm² touch-sensitive sensor on the lateral neck behind the ear, below the mastoid process.",Tactile-only switch-off baseline with the same manual contact timing: one 40-trial condition x two protocol runs = 80 baseline-block trials (60 tactile-present and 20 no-stimulation).,"No-stimulation rows required a 'none' report: 9 conditions x 10 no-stimulation trials x 2 protocol runs = 180, of which 160 were in cross-modal blocks and 20 in tactile-only baseline blocks.","Nine condition blocks, each with 10 repetitions of four trial types, repeated in two complete protocol runs: 9 x 40 x 2 = 720 trials per participant (640 cross-modal-block trials and 80 baseline-block trials).","Nine condition-specific 40-trial blocks per protocol, with condition-block order randomized across sessions and participants; the complete protocol was repeated twice, yielding 18 blocks.",Design family: repeated_measure | Assignment scope: within_participant | Pps occurrence pattern: condition_specific_pps_sessions,
doi:10.1162/089892902320474481::b,doi:10.1162/089892902320474481,farne_ladavas_2002_auditory_pps_humans,Auditory peripersonal space in humans. (b),Auditory peripersonal space in humans.,2002,10.1162/089892902320474481,b,Experiment 2 — left-back near/far white noise,,composite_requires_split,manual_review,supported_incomplete,Static free-field white-noise bursts at the Experiment 1 level/apparatus (70 dB at the ear; sensor-switched loudspeaker); reusable source waveform is not supplied.,"Static left-back sources at 20 and 70 cm from the head, ear level and 45 degrees from the sagittal plane; sound lasts for brief tactile contact and has no movement speed.","Two cross-modal white-noise condition blocks (left-back 20 and 70 cm), each retaining the 40-trial, four-row structure and pseudorandom trial order used in Experiment 1.","After an experimenter attention prompt, participants verbally reported left, right, both, or none after each event, regardless of modality.","No ITI, inter-trial interval, jitter value, or distribution was recovered after the main-PDF, targeted, fallback, and supplement-route checks.",Cross-modal sound and touch were simultaneous (nominal 0-ms SOA); there was no varied SOA ladder.,"Brief light contact under 1 s with a 1-cm² touch-sensitive sensor on the lateral neck behind the ear, below the mastoid process.",Experiment 2 is described as two added cross-modal condition blocks; no experiment-specific tactile-only baseline block is reported.,No-stimulation rows within the two 40-trial cross-modal blocks required a 'none' report: 2 blocks x 10 = 20.,"Two distance conditions x 40 trials each = 80 Experiment 2 trials, retaining 10 repetitions of each of the four trial types per condition.",Two 40-trial cross-modal distance blocks (left-back 20 and 70 cm); the tracked review does not recover their relative order.,Design family: crossover | Assignment scope: within_participant | Pps occurrence pattern: within_session_block_conditions,
doi:10.1371/journal.pone.0044306::a,doi:10.1371/journal.pone.0044306,canzoneri_2012_dynamic_sounds,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (a),Dynamic sounds capture the boundaries of peripersonal space representation in humans.,2012,10.1371/journal.pone.0044306,a,Main dynamic audio-tactile PPS experiment,,composite_requires_split,manual_review,runnable,"A 44.1-kHz pink-noise sample was shaped in SoundForge 4.5 into 3-s IN (55-to-70 dB) and OUT (70-to-55 dB) envelopes, with identical copies crossfaded simultaneously between near and far physical speakers; the exact noise asset and edit project are unavailable.","Apparent motion along the right-hand near/far axis: IN crossfaded from the far speaker to the hand-adjacent speaker, while OUT reversed the same approximately 100-cm path over 3000 ms.","Each 5-s trial had 1 s silence, a 3-s IN or OUT sound, and 1 s silence; tactile targets occurred at one of seven delays (including silent pre/post baselines), while auditory-only catch trials omitted touch; all trials were randomized.","Participants said 'TAH' as fast as possible to the electrical tactile target and withheld on auditory-only catches; voice onset was captured by relay, but no online response deadline is reported.",Trials used fixed 1000-ms silence before and after the 3000-ms sound; no random jitter is reported.,"Tactile onset relative to sound onset was -700, 300, 800, 1500, 2200, 2700, and +3600 ms (T0-T6); T1-T5 are bimodal and T0/T6 are silent tactile-only baselines.","A DS7A constant-current stimulator delivered one 100-ms constant-voltage rectangular monophasic electrical pulse through electrodes on the hairy surface of the right index finger, individually set at 60-90 mA after detection/catch calibration.","Thirty-two tactile-only baselines occurred during silence: T0 (-700 ms from sound onset) and T6 (+3600 ms), eight repetitions for each nominal IN/OUT assignment and endpoint.",Seventy-six auditory-only IN/OUT trials were randomly intermingled; participants withheld the vocal response.,"Eight tactile-target repetitions at each of seven delays for each of IN and OUT yielded 112 targets (80 critical audio-tactile and 32 tactile-only baseline), plus 76 catches, for 188 total trials.","The 188 randomized trials were equally split into two blocks of 94, each lasting about 8 minutes.",Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: single_pps,"vocal_tactile_rt: behavioral_response, voice-onset RT and response accuracy, native_response_log"
doi:10.1371/journal.pone.0044306::b,doi:10.1371/journal.pone.0044306,,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (b),Dynamic sounds capture the boundaries of peripersonal space representation in humans.,2012,10.1371/journal.pone.0044306,b,Sound-localization validation experiment,,composite_requires_split,no_exact_doi_audit_join,runnable,"A 44.1-kHz pink-noise sample was shaped in SoundForge 4.5 into 3-s IN (55-to-70 dB) and OUT (70-to-55 dB) envelopes, with identical copies crossfaded simultaneously between near and far physical speakers; the exact noise asset and edit project are unavailable.","Apparent motion along the right-hand near/far axis: IN crossfaded from the far speaker to the hand-adjacent speaker, while OUT reversed the same approximately 100-cm path over 3000 ms.","In each of 80 randomized trials, an IN or OUT sound was presented and a forearm tactile marker occurred at T1-T5; after the trial, the participant verbally rated the sound's perceived location.","After each trial, participants verbally rated perceived sound position from 1 (very close) to 100 (very far); response recording device and window are not reported.",Trials used fixed 1000-ms silence before and after the 3000-ms sound; no random jitter is reported.,"The forearm marker occurred 300, 800, 1500, 2200, or 2700 ms after IN/OUT sound onset (T1-T5).","A tactile marker was delivered on the forearm to identify when sound position should be judged; modality hardware, waveform, duration, and intensity are not re-reported.",The exhaustive 80-trial localization design enumerates only direction-by-marker-time trials and no baseline family.,The exhaustive 80-trial localization design reports no marker-absent or other catch family.,"Eighty randomized trials crossed two sound directions with five marker times, implying eight repetitions per direction-by-time cell if allocation was balanced.",One 80-trial randomized localization experiment is reported; no block subdivision or break schedule is stated.,Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: custom,"verbal_sound_location: behavioral_response, 1-100 perceived-distance rating, operator_recorded"
doi:10.1111/j.1467-9280.2007.01952.x,doi:10.1111/j.1467-9280.2007.01952.x,serino_2007_blind_cane_users,Extended multisensory space in blind cane users.,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,,not_assessed,serino_2007_blind_cane_users,none,manual_review,supported_incomplete,"A 150-ms white-noise burst was generated through either of two identical physical loudspeakers and equalized to 70 dB at the ear; no waveform, seed, or executable asset is supplied.",Static two-location presentation: one speaker adjacent to the stimulated hand and one on the floor approximately 125 cm from the hand; the far sound begins 5 ms early to compensate acoustic propagation.,"Randomized Go/NoGo trials crossed tactile intensity (weak target/strong nontarget) with near/far sound, plus sound-only catch trials; 30 practice trials preceded the task.","Participants said 'tah' as rapidly as possible only for weak electrical targets, withheld for strong electrical nontargets and sound-only catches, and ignored the sound; no response deadline is reported.",The publication does not report an intertrial interval or jitter policy.,Near sound onset was simultaneous with tactile onset; far sound command onset was -5 ms relative to tactile onset to compensate propagation delay.,Weak target and stronger nontarget constant-current electrical stimuli were delivered through two electrode pairs on the right index finger and individually titrated; pulse waveform/duration are not reported.,"The exhaustive five-family, 150-trial inventory contains no tactile-only or other baseline trial family.",Thirty sound-only catch trials were intermingled in every 150-trial condition; no response was expected.,"Each 150-trial condition contained 30 target-near, 30 target-far, 30 nontarget-near, 30 nontarget-far, and 30 sound-only catch trials.",Blind participants completed counterbalanced cane and handle 150-trial conditions; sighted participants additionally completed cane measurements immediately after 10-min training and one day later.,Design family: mixed_factorial | Assignment scope: observational_cohorts | Pps occurrence pattern: multi_scope,"vocal_tactile_rt: behavioral_response, voice-onset RT and Go/NoGo errors, native_response_log"
doi:10.1016/j.cub.2013.01.043::a,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (a),Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,a,Experiment 1 — mannequin versus other-person PPS,,composite_requires_split,current_audit_without_manual_review,supported_incomplete,3000-ms pink-noise IN/OUT physical-speaker sounds; exact gain envelope and source asset are not supplied in the main paper.,Geometry: Near speaker about 5 cm from the right cheek; far speaker about 100 cm beyond it; IN far-to-near and OUT near-to-far. Kinematics: 3000-ms apparent travel over approximately 100 cm; nominal 0.33 m/s derived.,Trial-sequence evidence recoverable from the prior combined review: Vocal speeded response to right-cheek tactile targets while ignoring sound; no response timeout reported.,Vocal speeded response to right-cheek tactile targets while ignoring sound; no response timeout reported.,Exact ITI/jitter is deferred to unavailable Supplemental Experimental Procedures.,Five tactile delays are used; the exact table/reference anchor is in the supplement and is not verified.,Constant-current electrical tactile target through electrodes on the right cheek; waveform/intensity details require the supplement.,Baseline strategy/count not recoverable from the main paper without the supplement.,Auditory-only/no-tactile catches comprised approximately 23% of trials (about 77% tactile-target trials).,Exact repetitions/trial totals require the supplement.,Counterbalanced Mannequin versus Other-person conditions; exact block/trial allocation requires the supplement.,Design family: crossover | Assignment scope: within_participant | Pps occurrence pattern: condition_specific_pps_sessions,"vocal_tactile_rt: behavioral_response, reaction time from cheek electrical stimulation to vocal response, native_response_log"
doi:10.1016/j.cub.2013.01.043::b,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (b),Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,b,Experiment 2 — cooperative versus noncooperative interaction,,composite_requires_split,current_audit_without_manual_review,supported_incomplete,3000-ms pink-noise IN/OUT physical-speaker sounds; exact gain envelope/source asset unavailable.,Geometry: Near speaker about 5 cm from the right cheek and far speaker about 100 cm beyond it. Kinematics: 3000-ms apparent travel over approximately 100 cm; nominal 0.33 m/s derived.,Trial-sequence evidence recoverable from the prior combined review: Vocal tactile-target response before and after social interaction; no response timeout reported.,Vocal tactile-target response before and after social interaction; no response timeout reported.,Exact ITI/jitter requires the supplement.,Five tactile delays; exact values/reference require the supplement.,Electrical right-cheek tactile target; waveform/intensity details require the supplement.,Baseline strategy/count requires the supplement.,Auditory-only catches approximately 23% of trials.,Exact repetitions/trial totals require the supplement.,Pre/post task crossed with cooperative versus noncooperative confederate interaction; exact block allocation requires the supplement.,Design family: mixed_factorial | Assignment scope: mixed_between_within | Pps occurrence pattern: repeated_pre_post,"vocal_tactile_rt: behavioral_response, reaction time from cheek electrical stimulation to vocal response, native_response_log"
doi:10.1016/j.cub.2013.01.043::c,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (c),Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,c,Experiment 3 — cooperative interaction before versus after,,composite_requires_split,current_audit_without_manual_review,supported_incomplete,"4000-ms pink-noise IN/approaching sound only, rendered by the near/far physical loudspeakers; the original source asset and exact gain envelope are unavailable.","IN-only far-to-near apparent motion over the reported 2-m loudspeaker separation, ending at the participant, with a 4000-ms sound; nominal speed is approximately 0.5 m/s.",Trial-sequence evidence recoverable from the prior combined review: Vocal tactile-target response before and after cooperative interaction; no response timeout reported.,Vocal tactile-target response before and after cooperative interaction; no response timeout reported.,Exact ITI/jitter requires the supplement.,"Seven tactile delays from sound onset: 250, 750, 1300, 1800, 2500, 3200 and 3700 ms; IN-only order maps earlier delays farther and later delays nearer.",Electrical right-cheek tactile target; waveform/intensity details require the supplement.,Baseline strategy/count requires the supplement.,Auditory-only catches approximately 23% of trials.,Exact repetitions/trial totals require the supplement.,Cooperative-condition PPS task before versus after the interaction; exact block allocation requires the supplement.,Design family: repeated_measure | Assignment scope: within_participant | Pps occurrence pattern: repeated_pre_post,"vocal_tactile_rt: behavioral_response, reaction time from cheek electrical stimulation to vocal response, native_response_log"
doi:10.1038/srep18603::a,doi:10.1038/srep18603,serino_2015_peri_trunk_exp1,Body part-centered and full body-centered peripersonal space representations. (a),Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,a,Experiment 1 — peritrunk,serino_2015_peri_trunk_exp1,experiment_specific,manual_review,runnable,"Dynamic sound rendered by the two-speaker physical setup; exact waveform/asset, level endpoints, and interpolation envelope are not reported.","Looming/receding peri-trunk path from 100 cm to 5 cm at 22 cm/s, sampled at 5, 24, 43, 62, 81, and 100 cm; traversal about 4.32 s across the 95-cm active path.","Audio-tactile D1-D6 rows, tactile-only endpoint baselines, and auditory-only catches for looming and receding sounds.",Respond rapidly to chest vibration using the designated XBOX 360 button and withhold on auditory-only catches; no response deadline is reported.,Intertrial interval randomly shuffled between 500 and 700 ms.,"Six distance-at-touch anchors (5,24,43,62,81,100 cm) are converted to direction-specific tactile delays using the 22-cm/s path.",100-ms vibration to the upper chest/sternum from a Precision MicroDrives 312-101 motor (150 Hz nominal).,Tactile-only baselines at D1 and D6 equivalent timings: 32 trials.,Auditory-only no-response catch family: 16 trials.,"Sixteen repetitions over six distances, two motion directions, endpoint baselines, and catches; 240 trials total.","The complete 240-trial composition is reported, but numeric block count, within-block randomization, and block order are not.",Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: within_session_trial_conditions,"peritrunk_gamepad_rt: behavioral_response, reaction time from chest-vibration onset, native_response_log"
doi:10.1038/srep18603::b,doi:10.1038/srep18603,serino_2015_front_back_trunk_exp2,Body part-centered and full body-centered peripersonal space representations. (b),Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,b,Experiment 2 — front/back trunk,serino_2015_front_back_trunk_exp2,experiment_specific,manual_review,runnable,"Dynamic sound rendered by a physical 16-speaker array; exact waveform/asset, level endpoints, and speaker switching/interpolation field are not reported.","Sound traversed from 1 m in front through the participant to 1 m behind at 35 cm/s, with tactile anchors at 5,20,35,50,65,80,95 cm in both front and back space.","Audio-tactile front/back distance rows, three tactile-only baselines, and two auditory-only catches within the continuous front-to-back sound traversal.",Respond rapidly to front/back trunk vibration using the designated XBOX 360 button and withhold on auditory-only catches; no response deadline is reported.,Intertrial interval randomly shuffled between 500 and 700 ms.,"Fourteen front/back distance-at-touch anchors (5,20,35,50,65,80,95 cm on each side) are converted to tactile delays using the 35-cm/s traversal.",100-ms vibration delivered at sternum level on the front or equivalent back location using two Precision MicroDrives 312-101 motors.,Three tactile-only baseline rows repeated 12 times: 36 trials.,Two auditory-only/no-response catch rows repeated 12 times: 24 trials.,Twelve repetitions of 13 multisensory distance rows x two phases/directions plus three baselines and two catches; 372 trials total.,"The complete 372-trial composition is reported, but numeric block count, randomization constraints, and block order are not.",Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: within_session_trial_conditions,"front_back_trunk_gamepad_rt: behavioral_response, reaction time from trunk-vibration onset, native_response_log"
