"layer","artifact_or_folder","path_pattern","fields_or_schema","evidence_role","public_release_status","privacy_or_rights_caveat","source_pointer"
"Public deidentified trial data","Participant public CSV","1.Data_min/<participant_id>.csv","participant_id; session_id; part_session_id; part_number; block_number; block_label; trial_number; trial_number_global; trial_uid; condition; phase; noise_type; trial_type; soa_ms; response_given; hit_miss; reaction_time_ms","Compact trial-level response summary for sharing, OSF-style data release, and quick pooled checks.","Candidate public data after deidentification and human release review.","Participant identifiers must remain pseudonymous; small-N combinations of participant code, block order, and dates can still be identifying if released with other metadata.","src/peripersonal_space_toolkit/session_runner.py DATA_MIN_FIELDNAMES and _data_min_row_from_rich"
"Public deidentified trial data","Master public CSV","1.Data_min/master_successful_participants.csv","Same 17 fields as participant public CSV.","Pooled copy of completed/public participant rows for reuse and external analysis.","Candidate public data after deidentification and human release review.","Should include only approved completed/deidentified rows; it is not a raw acquisition archive.","src/peripersonal_space_toolkit/session_runner.py _refresh_data_min_master_csv"
"Rich reconstruction data","Participant trial CSV","2.Data_max/<participant_id>/sessions/<session_id>/<session_id>_trials.csv","recording_date; recording_time; recording_unix_time; participant_id; participant_age_years; participant_gender; participant_handedness; session_id; session_group_id; part_session_id; part_number; condition; block_number; block_label; trial_number; trial_uid; trial_type; family; respiratory_phase; row_label; stimulus_modality; noise_type; soa_ms; tactile_present; catch_trial; audio_present; stimulus_start_unix_time; tactile_unix_time; response_window_onset_unix_time; response_unix_time; rt_ms; response_event_id; response_given; outcome; correctness_rule; is_topup; topup_role; source_trial_uid; primary_analysis_included","Reconstructs trial timing, response classification, catch/top-up status, and analysis inclusion.","Private/session reconstruction layer unless deidentified and explicitly approved.","Contains demographic fields and fine-grained timestamps; do not publish by default.","src/peripersonal_space_toolkit/session_runner.py PARTICIPANT_TRIAL_FIELDNAMES and ParticipantTrialCsvWriter"
"Design and runner provenance","Run package and session metadata","Experiment_context_folder_DO_NOT_DELETE/runner_logs/<session_id>/session_manifest.json; session_metadata.json; loudness_manifest.json; protocol_schedule.csv; design.json","pps-run-session.v1; pps-runner-session-metadata.v1; loudness policy payload; protocol schedule rows","Links participant run output to design, profile snapshot, block WAVs, loudness policy, route settings, source hashes, and capture options.","Archive with validation package; public only after path/privacy review.","May contain local paths, participant metadata, hardware route details, and private profile copies.","src/peripersonal_space_toolkit/session_runner.py _write_session_manifest and _build_runner_session_metadata"
"Prepared block evidence","Prepared block manifests and WAVs","Experiment_context_folder_DO_NOT_DELETE/prepared_blocks/<session_id>/blocks/Block_*.csv; Block_*_concatenated.wav","Block CSV fields include trial UID, trial type, family, SOA, source file path/hash, sample rate, channels, tactile/looming onsets, response window, and trial-end samples.","Shows exactly what the runner was prepared to play and when events were scheduled in sample coordinates.","Validation/archive layer; public only if stimuli and paths are redistributable.","WAVs can include generated or imported stimuli; rights and local-path review are required before sharing.","src/peripersonal_space_toolkit/session_runner.py _write_segment_block_csv and _materialize_block_wav"
"Software event stream","Verbose event log","Experiment_context_folder_DO_NOT_DELETE/verbose_events/<session_id>/events.csv","event_id; event_type; unix_time; monotonic_time; payload_json","Auditable software event stream for trial starts, onsets, clicks, pauses, top-up, calibration, and adaptive-threshold events.","Private/session reconstruction layer; selected summaries can be shared after deidentification.","Payloads may contain local paths, participant ids, setup settings, or operator notes.","src/peripersonal_space_toolkit/session_events.py SessionEventLogger.write_csv"
"Marker and external-capture evidence","LSL marker mirror, trigger dictionary, and XDF files","Experiment_context_folder_DO_NOT_DELETE/verbose_events/<session_id>/lsl_markers.csv; lsl_markers.xdf; trigger_dictionary.json; <session_id>_external_labrecorder.xdf","LSL CSV fields include event id/type/code, trigger key, marker name, session/participant/part ids, lsl timestamp quality, sample index, block index, trial uid, pushed_to_lsl, and payload JSON.","Reconciles runner events with LSL marker pushes and optional LabRecorder capture.","Validation/archive layer; not a public participant table by default.","LSL/XDF evidence is still route-specific and does not by itself prove physical audio/tactile onset.","src/peripersonal_space_toolkit/timing_events.py TimingEventHub.write_lsl_markers_csv"
"Tactile calibration evidence","Tactile calibration trials and report","<participant_id>/<participant_id>_tactile-calibration/tactile_calibration_trials.csv; tactile_calibration_report.json","pps-tactile-calibration.v2; two_down_one_up_detection_threshold.v2; trial fields include phase, level, staircase state, catch flags, response timing, outcome, and recenter metadata.","Documents participant-specific tactile threshold procedure and accepted preset.","Private/perceptual calibration artifact; publish only as deidentified summary unless approved.","A perceptual detection preset is not mechanical actuator-onset evidence.","src/peripersonal_space_toolkit/tactile_calibration/schema.py"
"Missed-trial and top-up evidence","Top-up ledger and materialized top-up blocks","2.Data_max/<participant_id>/sessions/<session_id>/topup_ledger.csv; topup_ledger.json; topup_block*_manifest.csv","pps-topup-ledger.v1 plus dynamic rows for tactile hit/miss/top-up status and source trial provenance.","Tracks original misses, hit status, top-up attempts, and source-trial mapping without erasing primary rows.","Private/session reconstruction layer unless summarized and deidentified.","Top-up completion does not convert an original miss into an original hit.","src/peripersonal_space_toolkit/topup.py TopUpLedger.write_outputs"
"Adaptive tactile safeguard evidence","Adaptive threshold summary and adjustments","2.Data_max/<participant_id>/sessions/<session_id>/adaptive_tactile_threshold_summary.json; adaptive_tactile_threshold_adjustments.csv","Adjustment CSV fields: schema; adjustment_index; old/new/increment Output 3/4 percent; triggering miss count; triggering ledger id; triggering trial uid; triggering block/trial; triggering is_topup; triggering miss reason.","Records the run-local two-miss Output 3/4 nudge safeguard.","Private/session reconstruction layer; publish only as deidentified validation summary unless approved.","Documents a safeguard, not a validated correction for habituation or condition-dependent misses.","src/peripersonal_space_toolkit/tactile_threshold_adaptation.py AdaptiveTactileThresholdController.write_outputs"
